study,arm,is_control,control_arm,metric,n,mean,sd,min,max,ci95_low,ci95_high
guard_sweep,E_cvp100,0,B,R4_shared_concept_ratio,3,1.0109201193591861,0.00670890511598602,1.006658773823202,1.0186534797431814,0.9942542751560105,1.0275859635623616
guard_sweep,E_cvp100,0,B,R4_effective_rank_ratio,3,2.7898722922688948,0.1018315980550249,2.672419159951926,2.853420232105041,2.536908579292606,3.0428360052451837
guard_sweep,E_cvp1k,0,B,delta_R1_concept_dominance_vs_control,3,0.34865072055147034,0.009659419945226053,0.33945799990915687,0.3587174381802002,0.324655391191901,0.37264604991103967
guard_sweep,E_cvp1k,0,B,delta_R2_mean_alignment_margin_vs_control,3,-0.05193773310298127,0.0041241884876908755,-0.0565090460696313,-0.0484961120861584,-0.06218278525562074,-0.0416926809503418
guard_sweep,E_cvp1k,0,B,delta_R3_weak_language_tail_vs_control,3,-0.27335772614898146,0.008813126669338242,-0.2833904764814648,-0.2668651591712389,-0.2952507464667172,-0.25146470583124575
guard_sweep,E_cvp1k,0,B,delta_R4_within_concept_ratio_vs_control,3,0.06082986266045176,0.023538604732680844,0.03731432125922618,0.08439146313011914,0.0023567269620144785,0.11930299835888905
guard_sweep,E_cvp1k,0,B,delta_R4_shared_concept_ratio_vs_control,3,0.05481145263033301,0.022220317508577888,0.03157458355197662,0.07585211868643471,-0.0003868760597914578,0.11000978132045748
guard_sweep,E_cvp1k,0,B,delta_R4_effective_rank_ratio_vs_control,3,1.7692051999150367,0.11638349741903711,1.6380999323895895,1.8603249041356313,1.4800925649510093,2.058317834879064
guard_sweep,E_cvp1k,0,B,delta_lfs_vs_control,3,-0.34865072055147023,0.009659419945226103,-0.3587174381802002,-0.33945799990915676,-0.37264604991103967,-0.3246553911919008
guard_sweep,E_cvp1k,0,B,delta_effective_rank_vs_control,3,72.50471562635624,4.769572452292844,67.13182268013026,76.23893947036777,60.65644082869009,84.35299042402241
guard_sweep,E_cvp1k,0,B,delta_mexa_vs_control,3,-0.03185185185185183,0.004625924443258026,-0.0355555555555555,-0.0266666666666667,-0.04334328521305675,-0.02036041849064692
guard_sweep,E_cvp1k,0,B,delta_aar10_vs_control,3,-0.16925577322642008,0.005932549593983889,-0.1755166345586379,-0.1637177802622318,-0.18399304339966457,-0.15451850305317558
guard_sweep,E_cvp1k,0,B,ppl_favorable_vs_control,3,-0.04104638589092241,0.025926441609061112,-0.058697139324044106,-0.011280174617438755,-0.10545123722348403,0.023358465441639206
guard_sweep,E_cvp1k,0,B,delta_context_trained_vs_control,3,-0.033762081861495895,0.015481821602809911,-0.0493954310814539,-0.0184363730748494,-0.07222105875162693,0.004696895028635149
guard_sweep,E_cvp1k,0,B,delta_context_heldout_vs_control,3,-0.025528991884655388,0.023685906487573127,-0.0469599147637685,-9.759267171216555e-05,-0.0843680454274276,0.03331006165811683
guard_sweep,E_cvp1k,0,B,R4_within_concept_ratio,3,1.0218783517047552,0.019279748513848467,1.0079805943827818,1.043888703030189,0.9739848013484418,1.0697719020610685
guard_sweep,E_cvp1k,0,B,R4_shared_concept_ratio,3,1.0133122828650876,0.01761490005207428,1.0009246897621245,1.0334773126005488,0.969554445357017,1.057070120373158
guard_sweep,E_cvp1k,0,B,R4_effective_rank_ratio,3,2.7771771390758997,0.11863085007261287,2.641539925678829,2.8615845475804385,2.4824817706335227,3.0718725075182767
guard_sweep,G_tail,0,B,delta_R1_concept_dominance_vs_control,3,0.3467788160686103,0.007576037802297295,0.33965434777007525,0.354737391012131,0.32795889485827745,0.3655987372789431
