model,layer,n_axes,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_raw_variance_ss_language_fraction,spearman_language_share_vs_raw_variance,median_share_top5_raw_variance,median_share_rest,median_share_top5_minus_rest,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,gaussian_null_mean
OLMo-2-1124-7B,32,4096,0.6845803490410896,0.809890765876821,0.8672282896084631,0.9119655376380282,0.9643057225953481,0.99658203125,0.88525390625,0.32080078125,1.0,0.8859116386321693,0.8502610166926816,0.8092527604123361,0.9762245961266778,0.861980197728114,0.11424439839856382,13,300,4096,0.8654070109256882,0.602939860220816,0.311021763143892,0.0385852090032154
Qwen3-0.6B-Base,0,1024,0.6958749463400817,0.8191688133013257,0.8800868500963923,0.9182435075725895,0.9559957512835369,0.9970703125,0.8974609375,0.36328125,1.0,0.4182639271954891,0.23499443038528625,0.835048760371218,0.9588076348784613,0.876524311849702,0.08228332302875929,13,300,1024,0.8730930472422505,0.2822978797487717,0.2632879443463785,0.0385852090032154
Qwen3-0.6B-Base,7,1024,0.319517749720821,0.5017555942487466,0.6292119473239188,0.7514681573519043,0.8893306006695649,0.7529296875,0.25390625,0.041015625,1.0,0.9975569840232466,0.9969004554246184,0.49403881830698804,0.8447619359097811,0.6282232209639256,0.21653871494585553,13,300,1024,0.6431745842533322,0.9901568532697032,0.997263490761481,0.0385852090032154
Qwen3-0.6B-Base,8,1024,0.27217783350949054,0.45037057290003296,0.5865622124492248,0.7186835589622242,0.8814437337658281,0.6689453125,0.201171875,0.033203125,1.0,0.997426102398951,0.9965618176600335,0.5518972623560546,0.8310980225354767,0.5796458118936147,0.25145221064186196,13,300,1024,0.6088355117370512,0.9889740325653946,0.9967445738677998,0.0385852090032154
Qwen3-0.6B-Base,21,1024,0.5782684973099426,0.7729469778529403,0.8490257774647314,0.9012016650957813,0.951366301100402,0.9765625,0.8017578125,0.255859375,1.0,0.8755726529862147,0.825936932400769,0.20771187236249192,0.8978066272025784,0.8475098326497421,0.05029679455283631,13,300,1024,0.8333847569308337,0.8824704471670859,0.8228241576451423,0.0385852090032154
Qwen3-0.6B-Base,28,1024,0.6795621689109625,0.8242404351831689,0.887151367763517,0.9302766109209087,0.978418552718921,0.994140625,0.888671875,0.431640625,1.0,0.902987724390004,0.8764986193498239,0.5920618942672197,0.9891727401004201,0.8840629873954206,0.10510975270499956,13,300,1024,0.8763529321916044,0.3120100993819904,0.2919397733993729,0.0385852090032154
Qwen3-1.7B-Base,0,2048,0.6859177223667013,0.8089808035883397,0.8688307765960039,0.9128832632552935,0.9524498614479961,0.99755859375,0.8798828125,0.32958984375,1.0,0.38343573388506136,0.1942893484902163,0.7634327154967704,0.9490325097677368,0.8637144387129357,0.08531807105480105,13,300,2048,0.864641534130501,0.1603608363708224,0.2523158794005918,0.0385852090032154
Qwen3-1.7B-Base,7,2048,0.3327961625427905,0.5029312803364532,0.6269593354495262,0.7365194175649159,0.8552274910590567,0.75732421875,0.220703125,0.01416015625,1.0,0.9973396371188594,0.9966257046943633,0.5504856341744981,0.8363304761707852,0.6185056210805344,0.21782485509025074,13,300,2048,0.6346997630281737,0.983213664275471,0.9962796899862,0.0385852090032154
Qwen3-1.7B-Base,13,2048,0.2532661982309345,0.4171123969538971,0.5541541503709831,0.6963911109822636,0.8384437986206958,0.60400390625,0.15234375,0.01513671875,1.0,0.9905428926517195,0.9812568911603275,0.49608413595477013,0.8028932710377564,0.5468011693548621,0.2560921016828943,13,300,2048,0.5808205932178168,0.9433517996919066,0.9776919833356954,0.0385852090032154
Qwen3-1.7B-Base,21,2048,0.5610454741380256,0.7533879467288362,0.8365680700902562,0.8914550198847947,0.9410534177299561,0.97265625,0.755859375,0.20849609375,1.0,0.7361873720586207,0.6352032451924817,0.27644522233864005,0.799578111817615,0.8381003381594466,-0.03852222634183167,13,300,2048,0.8180848682904561,0.765790354858075,0.5121690786237104,0.0385852090032154
