model,layer,native_share_q50,native_fraction_language_heavy_by,native_gini_ss_language,native_top5_ss_language_fraction,sweep16_share_q50,sweep16_fraction_language_heavy_by,sweep16_gini_ss_language,sweep16_top5_ss_language_fraction,delta_share_q50,delta_fraction_language_heavy_by,delta_gini_ss_language,delta_top5_ss_language_fraction
SmolLM2-1.7B,18,0.9393843192746545,1.0,0.8858577444706611,0.8555770164437737,0.7470802546786164,0.99990234375,0.7322877012900472,0.5604309362107092,-0.1923040645960381,-9.76562500000222e-05,-0.15357004318061396,-0.29514608023306454
SmolLM2-1.7B,24,0.9533461674718404,1.0,0.8585627426520265,0.8104821323053377,0.9586379408032691,1.0,0.4644527020423731,0.24717832989632807,0.005291773331428717,0.0,-0.3941100406096534,-0.5633038024090097
bloom-1b7,0,0.8115715033305552,1.0,0.574568610037884,0.41242848991885755,0.846742279919139,1.0,0.3851415696748189,0.18837969522745163,0.03517077658858381,0.0,-0.18942704036306507,-0.22404879469140593
bloom-1b7,6,0.8777930100866744,1.0,0.8652493676691853,0.81475087947668,0.6287968205420654,1.0,0.6603421337325146,0.4519948708897852,-0.248996189544609,0.0,-0.20490723393667065,-0.36275600858689483
bloom-1b7,14,0.7862171980883572,1.0,0.8547929579117683,0.7974440634830982,0.5851253363836313,0.9994140625,0.65094786392732,0.42900895000222466,-0.20109186170472593,-0.0005859375000000222,-0.2038450939844484,-0.3684351134808735
bloom-1b7,18,0.818383561762672,1.0,0.740301122265314,0.6585856232737823,0.7094190432213704,1.0,0.542427670493282,0.36468873467610247,-0.10896451854130162,0.0,-0.19787345177203197,-0.2938968885976799
bloom-1b7,24,0.7638057409808128,1.0,0.9898331327029048,0.9885371201980211,0.9851643199650816,1.0,0.5474100224919745,0.3002317055043431,0.2213585789842688,0.0,-0.4424231102109304,-0.688305414693678
bloom-7b1,0,0.8002416797398816,1.0,0.5929061667549458,0.4604662572472808,0.8327660866221605,1.0,0.4269909976360431,0.22728191620600394,0.03252440688227887,0.0,-0.1659151691189027,-0.23318434104127686
bloom-7b1,8,0.8594675522493305,1.0,0.8696169858005774,0.8200863307332857,0.6970815315649458,0.99970703125,0.7136228309543882,0.548203272326675,-0.16238602068438468,-0.0002929687499999556,-0.15599415484618928,-0.27188305840661076
bloom-7b1,17,0.7345637491246284,1.0,0.8883860836884578,0.8454610634066573,0.5952264855300948,0.9994140625,0.7386015314605556,0.5662276699741681,-0.13933726359453358,-0.0005859375000000222,-0.1497845522279022,-0.2792333934324892
bloom-7b1,22,0.7809604642229983,1.0,0.7650820650870984,0.6930417630445729,0.7062183187154802,0.999853515625,0.5875710671235146,0.42334099989628926,-0.07474214550751801,-0.0001464843749999778,-0.17751099796358383,-0.2697007631482836
bloom-7b1,30,0.7604840406873343,1.0,0.9888210541911218,0.9846442281309253,0.9824148055275547,1.0,0.6217280750450053,0.3855762200529015,0.22193076484022034,0.0,-0.3670929791461165,-0.5990680080780239
salamandra-2b,0,0.965293157261127,1.0,0.3816757062587261,0.1759728188667928,0.9619311943311077,1.0,0.32626202503041596,0.13855210013448804,-0.0033619629300192244,0.0,-0.05541368122831014,-0.037420718732304764
salamandra-2b,6,0.8192670789868913,1.0,0.9975106770277351,0.9977639744171501,0.7195824202579691,0.9982421875,0.8235410254572681,0.586170121514684,-0.09968465872892218,-0.0017578124999999556,-0.17396965157046695,-0.4115938529024662
salamandra-2b,18,0.8758541037091214,1.0,0.9880158191104498,0.9858227435309544,0.7313165550199989,1.0,0.813381640056608,0.5732202140129685,-0.1445375486891225,0.0,-0.17463417905384182,-0.4126025295179859
salamandra-2b,24,0.9208365863473407,1.0,0.6771944969209294,0.5455871165395184,0.9514611091239502,1.0,0.3570161992297819,0.16204640008078072,0.030624522776609542,0.0,-0.3201782976911475,-0.38354071645873766
salamandra-7b,0,0.963951577795186,1.0,0.373363923237034,0.1609755107451972,0.9636155521946085,1.0,0.3297442794912593,0.1406806811006988,-0.0003360256005775497,0.0,-0.043619643745774705,-0.020294829644498386
salamandra-7b,8,0.9076551138759685,1.0,0.9960351234047831,0.9956067261112416,0.6118592179449353,0.999951171875,0.8379653134115358,0.6105282526640474,-0.2957958959310333,-4.882812499995559e-05,-0.15806980999324727,-0.38507847344719415
salamandra-7b,18,0.7705196629429125,1.0,0.9778548411073537,0.9715828726541949,0.6410588621589619,0.999853515625,0.8080865042011727,0.5815342332122132,-0.1294608007839506,-0.0001464843749999778,-0.16976833690618098,-0.39004863944198165
salamandra-7b,24,0.88026786583891,1.0,0.8363741118690149,0.7949968382513728,0.7632941878682856,1.0,0.6549423562818483,0.4558451743741819,-0.11697367797062441,0.0,-0.18143175558716662,-0.33915166387719087
salamandra-7b,32,0.9167692743891545,1.0,0.7832175800537067,0.7113699220323675,0.9557139517588128,1.0,0.4638153487933505,0.2626729592928886,0.03894467736965834,0.0,-0.31940223126035616,-0.4486969627394789
