model,layer,sweeps,share_q50,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction
SmolLM2-1.7B,24,1,0.9546850732218047,1.0,0.8471067552078473,0.7883415160358509
SmolLM2-1.7B,24,4,0.9578687670073546,1.0,0.7937807101198071,0.6801315129042379
SmolLM2-1.7B,24,16,0.9586379408032691,1.0,0.4644527020423731,0.24717832989632807
bloom-1b7,0,0,0.8115715033305552,1.0,0.574568610037884,0.41242848991885755
bloom-1b7,0,1,0.8137877832099791,1.0,0.5607289955254844,0.39647324345336826
bloom-1b7,0,4,0.822169988811195,1.0,0.5223978988365691,0.3496730645685976
bloom-1b7,0,16,0.846742279919139,1.0,0.3851415696748189,0.18837969522745163
bloom-1b7,6,0,0.8777930100866744,1.0,0.8652493676691853,0.81475087947668
bloom-1b7,6,1,0.8779279932249464,1.0,0.8596146198685812,0.8087020336122424
bloom-1b7,6,4,0.878714100720565,1.0,0.8417949465553758,0.7866609360360548
bloom-1b7,6,16,0.6287968205420654,1.0,0.6603421337325146,0.4519948708897852
bloom-1b7,14,0,0.7862171980883572,1.0,0.8547929579117683,0.7974440634830982
bloom-1b7,14,1,0.7889104313915868,1.0,0.8490805904927766,0.7918653338192979
bloom-1b7,14,4,0.793574751835083,1.0,0.8312617760403411,0.7702752057920101
bloom-1b7,14,16,0.5851253363836313,0.9994140625,0.65094786392732,0.42900895000222466
bloom-1b7,18,0,0.818383561762672,1.0,0.740301122265314,0.6585856232737823
bloom-1b7,18,1,0.8218364038483179,1.0,0.7313597530652652,0.648971695427184
bloom-1b7,18,4,0.8265459025998426,1.0,0.7040878248444647,0.6161558239584364
bloom-1b7,18,16,0.7094190432213704,1.0,0.542427670493282,0.36468873467610247
bloom-1b7,24,0,0.7638057409808128,1.0,0.9898331327029048,0.9885371201980211
bloom-1b7,24,1,0.7852134056583956,1.0,0.9866700177270307,0.9849991538771752
bloom-1b7,24,4,0.8535027673177694,1.0,0.9675251551197961,0.9465640465785048
bloom-1b7,24,16,0.9851643199650816,1.0,0.5474100224919745,0.3002317055043431
bloom-7b1,0,0,0.8002416797398816,1.0,0.5929061667549458,0.4604662572472808
bloom-7b1,0,1,0.8000637290835488,1.0,0.5854784338311065,0.4495698356764879
bloom-7b1,0,4,0.8081459735095334,1.0,0.5603405991467902,0.42056763317945284
bloom-7b1,0,16,0.8327660866221605,1.0,0.4269909976360431,0.22728191620600394
bloom-7b1,8,0,0.8594675522493305,1.0,0.8696169858005774,0.8200863307332857
bloom-7b1,8,1,0.860464517499193,1.0,0.8644701156505208,0.8146052251283201
bloom-7b1,8,4,0.8621545275892546,1.0,0.8503126239246825,0.7977122328991086
bloom-7b1,8,16,0.6970815315649458,0.99970703125,0.7136228309543882,0.548203272326675
bloom-7b1,17,0,0.7345637491246284,1.0,0.8883860836884578,0.8454610634066573
bloom-7b1,17,1,0.7374815392795522,1.0,0.8845015532750174,0.8414919373543714
bloom-7b1,17,4,0.7426444647357519,1.0,0.873227087308819,0.8279598135757666
bloom-7b1,17,16,0.5952264855300948,0.9994140625,0.7386015314605556,0.5662276699741681
bloom-7b1,22,0,0.7809604642229983,1.0,0.7650820650870984,0.6930417630445729
bloom-7b1,22,1,0.78457614530623,1.0,0.7569209212032277,0.6839318629746096
bloom-7b1,22,4,0.7917257315757112,1.0,0.7344553496923654,0.6588946327511499
bloom-7b1,22,16,0.7062183187154802,0.999853515625,0.5875710671235146,0.42334099989628926
bloom-7b1,30,0,0.7604840406873343,1.0,0.9888210541911218,0.9846442281309253
bloom-7b1,30,1,0.7814694527060645,1.0,0.9861379896988026,0.9811100263430943
bloom-7b1,30,4,0.8424741533697617,1.0,0.970735693567895,0.9525835265686424
bloom-7b1,30,16,0.9824148055275547,1.0,0.6217280750450053,0.3855762200529015
salamandra-2b,0,0,0.965293157261127,1.0,0.3816757062587261,0.1759728188667928
salamandra-2b,0,1,0.9657690816441203,1.0,0.3680254539521076,0.17007475425174895
salamandra-2b,0,4,0.9651668915851486,1.0,0.3495460297821401,0.15600968754900205
salamandra-2b,0,16,0.9619311943311077,1.0,0.32626202503041596,0.13855210013448804
salamandra-2b,6,0,0.8192670789868913,1.0,0.9975106770277351,0.9977639744171501
salamandra-2b,6,1,0.8248739715478038,1.0,0.9973586860065893,0.9977236128479646
salamandra-2b,6,4,0.8184723376622575,1.0,0.9951973221277296,0.9974828322674154
salamandra-2b,6,16,0.7195824202579691,0.9982421875,0.8235410254572681,0.586170121514684
salamandra-2b,18,0,0.8758541037091214,1.0,0.9880158191104498,0.9858227435309544
salamandra-2b,18,1,0.8731527711625346,1.0,0.987657491994991,0.9855311703021197
salamandra-2b,18,4,0.8682198928810217,1.0,0.985434330124544,0.9844813290509888
salamandra-2b,18,16,0.7313165550199989,1.0,0.813381640056608,0.5732202140129685
salamandra-2b,24,0,0.9208365863473407,1.0,0.6771944969209294,0.5455871165395184
salamandra-2b,24,1,0.9241803831055033,1.0,0.6575914348054978,0.5139236104011815
salamandra-2b,24,4,0.9336390411488871,1.0,0.5836941108052838,0.38831984147121107
salamandra-2b,24,16,0.9514611091239502,1.0,0.3570161992297819,0.16204640008078072
salamandra-7b,0,0,0.963951577795186,1.0,0.373363923237034,0.1609755107451972
salamandra-7b,0,1,0.9641406549585984,1.0,0.36213580341414525,0.1552430461961795
salamandra-7b,0,4,0.9642764630473424,1.0,0.3431163567978113,0.14690768578339605
salamandra-7b,0,16,0.9636155521946085,1.0,0.3297442794912593,0.1406806811006988
salamandra-7b,8,0,0.9076551138759685,1.0,0.9960351234047831,0.9956067261112416
salamandra-7b,8,1,0.9059413237404981,1.0,0.9956827154160466,0.9953874014245633
salamandra-7b,8,4,0.8958234112275167,0.999853515625,0.9935612703042475,0.9942345808893055
salamandra-7b,8,16,0.6118592179449353,0.999951171875,0.8379653134115358,0.6105282526640474
salamandra-7b,18,0,0.7705196629429125,1.0,0.9778548411073537,0.9715828726541949
salamandra-7b,18,1,0.7718268340881695,1.0,0.9767990533231471,0.9702569576567838
salamandra-7b,18,4,0.7736494021919696,1.0,0.9720625231948162,0.9648549857751432
salamandra-7b,18,16,0.6410588621589619,0.999853515625,0.8080865042011727,0.5815342332122132
salamandra-7b,24,0,0.88026786583891,1.0,0.8363741118690149,0.7949968382513728
salamandra-7b,24,1,0.8797667489150935,1.0,0.83415235525617,0.7919925443737427
salamandra-7b,24,4,0.8763930944317684,1.0,0.8246355963297667,0.7797042670247258
salamandra-7b,24,16,0.7632941878682856,1.0,0.6549423562818483,0.4558451743741819
salamandra-7b,32,0,0.9167692743891545,1.0,0.7832175800537067,0.7113699220323675
salamandra-7b,32,1,0.918801780188846,1.0,0.7750424842630546,0.7013701153420768
salamandra-7b,32,4,0.924589074022822,1.0,0.7407244336339921,0.6420390339945248
salamandra-7b,32,16,0.9557139517588128,1.0,0.4638153487933505,0.2626729592928886
