model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,cpres_shared_raw,603.8571761599854,642.5145987792147,,empirical,,,,EMPIRICAL,642.5145987792147,-38.65742261922924,-0.060165827660069976
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,mean_norm,51.17105041752361,60.96344321452949,,empirical,,,,EMPIRICAL,60.96344321452949,-9.792392797005881,-0.1606272920403559
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,concept_rank_covariance_entropy,1.217263695357828,1.4157030406207425,,empirical,,,,EMPIRICAL,1.4157030406207425,-0.1984393452629145,-0.140170176632456
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,concept_rank_singular_entropy,66.56413639269707,94.5582238378986,,empirical,,,,EMPIRICAL,94.5582238378986,-27.99408744520153,-0.2960513248767433
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,concept_participation_ratio,1.0434672492112484,1.0846202694685076,,empirical,,,,EMPIRICAL,1.0846202694685076,-0.0411530202572592,-0.037942330063060005
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,cvp_within_ratio,0.920834238962434,1.0,,empirical,,,,EMPIRICAL,1.0,-0.07916576103756601,-0.07916576103756601
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,cpres_shared_ratio,0.93983417233993,1.0,,empirical,,,,EMPIRICAL,1.0,-0.06016582766006995,-0.06016582766006995
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,lfs_direct,0.7900691089438461,0.7900691089438461,0.7900691089438461,positive-diagonal invariant after coordinate standardization,0.0,0.0,7.910691089438461e-07,PASS,0.7900691089438461,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,ss_language,4407051.972452371,4407051.972452371,4407051.972452371,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.407051973452371,PASS,4407051.972452371,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,ss_concept,1171006.86134213,1171006.86134213,1171006.86134213,positive-diagonal invariant after coordinate standardization,0.0,0.0,1.17100686234213,PASS,1171006.86134213,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,ss_residual,2409141.1662055,2409141.1662055,2409141.1662055,positive-diagonal invariant after coordinate standardization,0.0,0.0,2.4091411672055,PASS,2409141.1662055,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,language_share_total,0.5517643194676946,0.5517643194676946,0.5517643194676946,positive-diagonal invariant after coordinate standardization,0.0,0.0,5.527643194676945e-07,PASS,0.5517643194676946,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,concept_share_total,0.1466104343627466,0.1466104343627466,0.1466104343627466,positive-diagonal invariant after coordinate standardization,0.0,0.0,1.4761043436274662e-07,PASS,0.1466104343627466,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,residual_share_total,0.3016252461695587,0.3016252461695587,0.3016252461695587,positive-diagonal invariant after coordinate standardization,0.0,0.0,3.026252461695587e-07,PASS,0.3016252461695587,0.0,0.0
