family,preprocessing,metric,n_cells,n_models,median_delta,median_abs_delta,min_delta,max_delta
rank,raw,ss_concept,70,14,-11397.261831176234,11397.261831176234,-1087836.3792987466,7.450580596923828e-08
rank,raw,ss_language,70,14,0.0,3.7834979593753815e-10,-4.172325134277344e-07,1.7881393432617188e-07
rank,raw,ss_residual,70,14,0.0,6.984919309616089e-10,-6.705522537231445e-08,1.7881393432617188e-07
rank,standardized,aar10,70,14,-0.08017638402824956,0.08017638402824956,-0.2514602781543717,1.4016565685892601e-15
rank,standardized,concept_participation_ratio,70,14,-10.20631666715769,10.20631666715769,-49.32498941111847,2.000177801164682e-12
rank,standardized,concept_rank_covariance_entropy,70,14,-44.53062806349786,44.53062806349786,-117.15007509472068,3.602451670303708e-12
rank,standardized,concept_rank_singular_entropy,70,14,-195.76139253782782,195.76139253782782,-240.52838523235394,6.976572990424756e-07
rank,standardized,concept_share_total,70,14,-0.03155010596990565,0.03155010596990565,-0.17768668863399542,1.1102230246251565e-16
rank,standardized,cpres_shared_raw,70,14,-82.88868119223332,82.88868119223332,-727.8046766448462,3.410605131648481e-13
rank,standardized,cvp_within_raw,70,14,-39.89969882198943,39.89969882198943,-248.84803780580205,2.2737367544323206e-13
rank,standardized,language_share_total,70,14,0.017828139887188177,0.017828139887188177,-1.1102230246251565e-16,0.060753915479932086
rank,standardized,lfs_direct,70,14,0.04315481436049218,0.04315481436049218,-2.220446049250313e-16,0.24494230090917612
rank,standardized,lfs_vc_reml,70,14,0.041834564723600864,0.041834564723600864,-3.3306690738754696e-16,0.28398223814146856
rank,standardized,linear_cka,70,14,0.006010663452469034,0.006010663452469034,-1.965094753586527e-14,0.04363413541550254
rank,standardized,mean_alignment_margin,70,14,-0.07932777843501426,0.07932777843501426,-0.2467996782283232,9.020562075079397e-16
rank,standardized,mean_norm,70,14,0.008552886987541086,0.052477332976277324,-0.5537082454691742,0.5533606949417873
rank,standardized,mexa_external,70,14,-0.1333333333333333,0.1333333333333333,-0.5341666666666667,0.0
rank,standardized,residual_share_total,70,14,0.014602677941120523,0.014602677941120523,-1.1102230246251565e-16,0.11693277315406347
rank,standardized,ss_concept,70,14,-323265.85664970963,323265.85664970963,-2838438.2389149005,1.3969838619232178e-09
rank,standardized,ss_language,70,14,155608.8254057581,155608.8254057581,-9.313225746154785e-10,970507.3474426274
rank,standardized,ss_residual,70,14,137882.7803401132,137882.7803401132,-9.313225746154785e-10,1867930.8914722726
