model,preprocessing,metric,n_rank_levels,spearman_with_retained_rank,pvalue_descriptive
Qwen3-1.7B-Base,standardized,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,mean_norm,5,-0.7,0.1881204043741873
Qwen3-1.7B-Base,standardized,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,ss_language,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,ss_residual,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,aar10,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,cpres_shared_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,cvp_within_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,linear_cka,5,-0.09999999999999999,0.8728885715695384
Qwen3-4B-Base,raw,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,raw,ss_language,5,0.10540925533894596,0.8660377229253148
Qwen3-4B-Base,raw,ss_residual,5,0.0,1.0
Qwen3-4B-Base,standardized,aar10,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,standardized,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,standardized,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,standardized,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,standardized,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-4B-Base,standardized,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
