model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity,retained_rank
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,lfs_direct,0.43338376536524,0.4333684029911068,,empirical,,,,EMPIRICAL,0.4333684029911068,1.536237413318764e-05,3.544876374732584e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,ss_language,21691.213867948387,21691.213867948383,,empirical,,,,EMPIRICAL,21691.213867948383,3.637978807091713e-12,1.6771669991541157e-16,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,ss_concept,28359.60852422826,28361.38276400659,,empirical,,,,EMPIRICAL,28361.38276400659,-1.7742397783295019,-6.255829601443792e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,ss_residual,12195.263811361958,12195.263811361958,,empirical,,,,EMPIRICAL,12195.263811361958,0.0,0.0,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,language_share_total,0.3484751442367033,0.3484652117111793,,empirical,,,,EMPIRICAL,0.3484652117111793,9.932525524003477e-06,2.850363591598899e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,concept_share_total,0.4556046854334764,0.4556202022370317,,empirical,,,,EMPIRICAL,0.4556202022370317,-1.5516803555326586e-05,-3.405644323746235e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,residual_share_total,0.1959201703298202,0.1959145860517888,,empirical,,,,EMPIRICAL,0.1959145860517888,5.5842780314063756e-06,2.850363591575671e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,lfs_vc_reml,0.460893241597974,0.4608779407491726,,empirical,,,,EMPIRICAL,0.4608779407491726,1.5300848801413913e-05,3.3199351603901605e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,mexa_external,0.0069444444444444,0.0155555555555555,,empirical,,,,EMPIRICAL,0.0155555555555555,-0.0086111111111111,-0.5535714285714299,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,aar10,-0.0006114834895216,-0.000546122882361,,empirical,,,,EMPIRICAL,-0.000546122882361,-6.536060716059999e-05,-0.11968113637361764,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,mean_alignment_margin,-0.0003053041909889,-0.0002551961187905,,empirical,,,,EMPIRICAL,-0.0002551961187905,-5.010807219839997e-05,-0.196351231499471,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,linear_cka,0.7341349837202386,0.7341349881551112,,empirical,,,,EMPIRICAL,0.7341349881551112,-4.4348726913057135e-09,-6.040949910929316e-09,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,cvp_within_raw,10.398685214253897,10.3991401475304,,empirical,,,,EMPIRICAL,10.3991401475304,-0.0004549332765027003,-4.374720121554843e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,cpres_shared_raw,7.271694493391857,7.27214942666836,,empirical,,,,EMPIRICAL,7.27214942666836,-0.0004549332765027003,-6.255829601553196e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,mean_norm,5.008906523176552,5.008938135094866,,empirical,,,,EMPIRICAL,5.008938135094866,-3.1611918313245724e-05,-6.3111017666116606e-06,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,concept_rank_covariance_entropy,1.0003943302562064,1.001389563389411,,empirical,,,,EMPIRICAL,1.001389563389411,-0.0009952331332045983,-0.0009938521126943095,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,concept_rank_singular_entropy,1.1097585135786914,2.7724096152671094,,empirical,,,,EMPIRICAL,2.7724096152671094,-1.662651101688418,-0.5997133657784652,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,concept_participation_ratio,1.0000594063333534,1.0001845420694446,,empirical,,,,EMPIRICAL,1.0001845420694446,-0.00012513573609118644,-0.00012511264754429494,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,cvp_within_ratio,0.9999562527987844,1.0,,empirical,,,,EMPIRICAL,1.0,-4.374720121558262e-05,-4.374720121558262e-05,9
Mistral-7B-v0.3,2,13,300,4096,rank,concept_main_effect_projection,rank=9,raw,cpres_shared_ratio,0.9999374417039844,1.0,,empirical,,,,EMPIRICAL,1.0,-6.255829601564677e-05,-6.255829601564677e-05,9
