model,layer,n_languages,n_concepts,raw_lfs,depth_from_layer0,analytic_null,excess_over_null,var_language_share_total,var_concept_share_total,residual_share_total
Qwen3-8B-Base,5,128,300,0.9459652725547902,-0.001241537250508462,0.2981220657276995,0.6478432068270907,0.6941650567157138,0.03965158207163425,0.26618336121265196
Qwen3-8B-Base,6,128,300,0.9346384801457441,0.010085255158537643,0.2981220657276995,0.6365164144180446,0.6394659009188789,0.04471939050969878,0.3158147085714223
Qwen3-8B-Base,7,128,300,0.8704814956658786,0.07424223963840315,0.2981220657276995,0.5723594299381791,0.5418830701151067,0.08062650971299856,0.3774904201718947
Qwen3-8B-Base,8,128,300,0.816183332078651,0.12854040322563076,0.2981220657276995,0.5180612663509515,0.48280014073453686,0.10873379748611296,0.4084660617793502
Qwen3-8B-Base,9,128,300,0.7465709332536614,0.19815280205062036,0.2981220657276995,0.4484488675259619,0.4254831513145667,0.14443342641804224,0.43008342226739105
Qwen3-8B-Base,10,128,300,0.7032226377079858,0.241501097596296,0.2981220657276995,0.40510057198028626,0.40883264483191156,0.17253749729607826,0.4186298578720102
Qwen3-8B-Base,11,128,300,0.6950844123106338,0.249639322993648,0.2981220657276995,0.3969623465829343,0.42295643987893494,0.1855400713187804,0.3915034888022847
Qwen3-8B-Base,12,128,300,0.683124334224291,0.2615994010799908,0.2981220657276995,0.38500226849659147,0.42240032890555357,0.1959356133870049,0.3816640577074415
Qwen3-8B-Base,13,128,300,0.663549052555773,0.28117468274850876,0.2981220657276995,0.3654269868280735,0.4045661078127781,0.2051342696567131,0.3902996225305088
Qwen3-8B-Base,14,128,300,0.6946603856444332,0.25006334965984856,0.2981220657276995,0.3965383199167337,0.4340737714236908,0.19079815217247426,0.37512807640383494
Qwen3-8B-Base,15,128,300,0.662309715841542,0.2824140194627398,0.2981220657276995,0.36418765011384246,0.4003673486643535,0.204134350598264,0.3954983007373825
Qwen3-8B-Base,16,128,300,0.6448595612746497,0.29986417402963206,0.2981220657276995,0.3467374955469502,0.38003400923698777,0.2092943221686916,0.4106716685943207
Qwen3-8B-Base,17,128,300,0.6135498198560367,0.33117391544824504,0.2981220657276995,0.31542775412833723,0.3572719940712908,0.22503115802664486,0.41769684790206435
Qwen3-8B-Base,18,128,300,0.6101151801647149,0.3346085551395669,0.2981220657276995,0.3119931144370154,0.35409792224133707,0.22628088778227193,0.419621189976391
Qwen3-8B-Base,19,128,300,0.6083596779814625,0.33636405732281927,0.2981220657276995,0.310237612253763,0.3511860523057655,0.2260810891836259,0.4227328585106086
Qwen3-8B-Base,20,128,300,0.6437362256055312,0.30098750969875054,0.2981220657276995,0.34561415987783173,0.37945308562709035,0.21000121340689268,0.41054570096601695
Qwen3-8B-Base,21,128,300,0.696619748898904,0.24810398640537779,0.2981220657276995,0.3984976831712045,0.43069972372995996,0.18757118290272679,0.38172909336731325
Qwen3-8B-Base,22,128,300,0.7331260096571294,0.2115977256471524,0.2981220657276995,0.43500394392942987,0.4647448991891648,0.1691773639242638,0.3660777368865714
Qwen3-8B-Base,23,128,300,0.7562317982978594,0.18849193700642242,0.2981220657276995,0.45810973257015986,0.48952815654403,0.1577973825907552,0.3526744608652148
Qwen3-8B-Base,24,128,300,0.819877440448302,0.12484629485597976,0.2981220657276995,0.5217553747206025,0.5823146403144803,0.12793132034529292,0.2897540393402267
Qwen3-8B-Base,25,128,300,0.8726504739160987,0.07207326138818304,0.2981220657276995,0.5745284081883992,0.664740172607462,0.09700830800056394,0.23825151939197406
Qwen3-8B-Base,26,128,300,0.8854303573012655,0.05929337800301626,0.2981220657276995,0.587308291573566,0.6830203867074355,0.08837894591680102,0.22860066737576343
Qwen3-8B-Base,27,128,300,0.905736915466562,0.03898681983771979,0.2981220657276995,0.6076148497388625,0.7171287386641482,0.07463399775334867,0.2082372635825031
Qwen3-8B-Base,28,128,300,0.9066811143470191,0.03804262095726263,0.2981220657276995,0.6085590486193196,0.7141478395574294,0.0735026676131651,0.21234949282940543
Qwen3-8B-Base,29,128,300,0.9074803603663825,0.03724337493789931,0.2981220657276995,0.609358294638683,0.7165665197290727,0.07305554927060133,0.210377931000326
Qwen3-8B-Base,30,128,300,0.9205041600226355,0.02421957528164631,0.2981220657276995,0.622382094294936,0.7412865581932232,0.06401839357906944,0.19469504822770742
Qwen3-8B-Base,31,128,300,0.9180700421766966,0.026653693127585143,0.2981220657276995,0.6199479764489971,0.7312933911232592,0.06526172725245905,0.20344488162428181
Qwen3-8B-Base,32,128,300,0.9283320064154901,0.0163917288887917,0.2981220657276995,0.6302099406877906,0.7519797925233578,0.05805345778644245,0.18996674969019975
Qwen3-8B-Base,33,128,300,0.9405644944077333,0.004159240896548511,0.2981220657276995,0.6424424286800338,0.7666390200855627,0.048444926463269984,0.1849160534511673
Qwen3-8B-Base,34,128,300,0.9467059073674335,-0.001982172063151766,0.2981220657276995,0.648583841639734,0.7618889476691446,0.042889961747168866,0.1952210905836865
Qwen3-8B-Base,35,128,300,0.9511088243408106,-0.0063850890365287905,0.2981220657276995,0.6529867586131111,0.7568278461811344,0.03890427911553986,0.20426787470332566
Qwen3-8B-Base,36,128,300,0.9583358666105657,-0.013612131306283914,0.2981220657276995,0.6602138008828662,0.7752471040210617,0.033704257429020695,0.19104863854991758
SmolLM2-1.7B,0,128,300,0.9721668404905769,0.0,0.2981220657276995,0.6740447747628774,0.7432033335649426,0.02127792892072881,0.23551873751432859
SmolLM2-1.7B,1,128,300,0.9796032989175135,-0.007436458426936632,0.2981220657276995,0.681481233189814,0.8094751105623759,0.01685439593976269,0.1736704934978614
SmolLM2-1.7B,2,128,300,0.9726588743105105,-0.0004920338199335683,0.2981220657276995,0.674536808582811,0.7664576265919303,0.021544875452015767,0.21199749795605394
SmolLM2-1.7B,3,128,300,0.9733450916828825,-0.001178251192305635,0.2981220657276995,0.675223025955183,0.7743835419817952,0.021206376330640923,0.20441008168756392
SmolLM2-1.7B,4,128,300,0.9746523092927347,-0.002485468802157831,0.2981220657276995,0.6765302435650352,0.7838658738906741,0.020385925871123457,0.19574820023820244
SmolLM2-1.7B,5,128,300,0.9730412503930749,-0.0008744099024979857,0.2981220657276995,0.6749191846653754,0.7747394436096362,0.021464667260964982,0.20379588912939886
SmolLM2-1.7B,6,128,300,0.9661424066385723,0.006024433852004574,0.2981220657276995,0.6680203409108728,0.7366589346138449,0.025815551085264114,0.237525514300891
SmolLM2-1.7B,7,128,300,0.9598386346648345,0.012328205825742344,0.2981220657276995,0.661716568937135,0.7117313277925372,0.0297801118267549,0.2584885603807079
SmolLM2-1.7B,8,128,300,0.9327353202512597,0.039431520239317175,0.2981220657276995,0.6346132545235602,0.6764269787454776,0.048780873963758395,0.27479214729076396
SmolLM2-1.7B,9,128,300,0.9241382097525481,0.048028630738028766,0.2981220657276995,0.6260161440248486,0.6634142244793153,0.05445916012725177,0.2821266153934329
SmolLM2-1.7B,10,128,300,0.9165401652016602,0.05562667528891674,0.2981220657276995,0.6184180994739606,0.6662994734257333,0.060673002765893234,0.27302752380837353
SmolLM2-1.7B,11,128,300,0.9085859984652117,0.06358084202536518,0.2981220657276995,0.6104639327375122,0.6615797669738906,0.06656238807960425,0.2718578449465051
SmolLM2-1.7B,12,128,300,0.9094499405981227,0.06271689989245421,0.2981220657276995,0.6113278748704232,0.6672023810637371,0.06643050105502434,0.2663671178812385
SmolLM2-1.7B,13,128,300,0.9109647057511575,0.06120213473941938,0.2981220657276995,0.612842640023458,0.6751724853480252,0.06598958282595056,0.2588379318260242
SmolLM2-1.7B,14,128,300,0.9091745022999368,0.0629923381906401,0.2981220657276995,0.6110524365722373,0.6739939563466624,0.0673312289083809,0.25867481474495674
SmolLM2-1.7B,15,128,300,0.903988471363333,0.06817836912724384,0.2981220657276995,0.6058664056356335,0.6632616135673715,0.07044421850710848,0.26629416792552013
SmolLM2-1.7B,16,128,300,0.9072624045033076,0.06490443598726925,0.2981220657276995,0.6091403387756081,0.6696822572583991,0.06845287755414191,0.261864865187459
SmolLM2-1.7B,17,128,300,0.9512628578193342,0.020903982671242716,0.2981220657276995,0.6531407920916347,0.7770570176543334,0.03981185435823678,0.18313112798742978
SmolLM2-1.7B,18,128,300,0.9529709089804056,0.019195931510171294,0.2981220657276995,0.6548488432527061,0.7763798217754578,0.038314325190807276,0.1853058530337349
