model,layer,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,coordinate_share_mean,coordinate_share_median,coordinate_share_gini,gaussian_null_mean,by_alpha,n_language_heavy_by,fraction_language_heavy_by,top_variance_fraction,overlap_with_top5_variance,fraction_significant_in_top5_variance,overlap_with_matched_top_variance,fraction_significant_in_matched_top_variance
Qwen3-4B-Base,36,13,300,2560,0.8864571566809325,0.3751902759561227,0.371652219812919,0.8763568263169947,0.8977281222380775,0.0510682700997935,0.0385852090032154,0.05,2560,1.0,0.05,128,0.05,2560,1.0
Qwen3-8B-Base,0,13,300,4096,0.8743578957482872,0.4017214550985791,0.1986718098219822,0.8604522181658677,0.8781872295299682,0.0477487223244299,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Qwen3-8B-Base,9,13,300,4096,0.6171749564719544,0.9635833974981453,0.9886224804606168,0.5940287405502587,0.6034518279966878,0.1477760948557596,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Qwen3-8B-Base,19,13,300,4096,0.4492824643532386,0.9460681328837172,0.9738286101366714,0.4277837682396312,0.4138939528563342,0.2260755874941076,0.0385852090032154,0.05,4081,0.996337890625,0.05,204,0.0499877481009556,4066,0.9963244302866944
Qwen3-8B-Base,27,13,300,4096,0.797506261002557,0.8379387588219629,0.7090280090827527,0.7844479526873945,0.8112363519112487,0.0851829309691023,0.0385852090032154,0.05,4094,0.99951171875,0.05,203,0.0495847581827064,4092,0.9995114802149488
Qwen3-8B-Base,36,13,300,4096,0.8787959488656687,0.4889460253847092,0.6801624938203527,0.8691667244708513,0.8883255899903274,0.0499482412035696,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
SmolLM2-1.7B,0,13,300,2048,0.9586847505816288,0.3225543962145623,0.2998883470566456,0.9550947952634528,0.9626910914920468,0.0160200025527585,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
SmolLM2-1.7B,6,13,300,2048,0.9509641929151614,0.8577806141691553,0.753964166032513,0.9475526101207354,0.9566201653136694,0.0172916516199825,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
SmolLM2-1.7B,15,13,300,2048,0.8694759748630935,0.9582415788044664,0.9739539038783888,0.8616678616406357,0.8793845155389657,0.0463771445607223,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
SmolLM2-1.7B,18,13,300,2048,0.9298714815611367,0.9038211032321984,0.8949440815783312,0.9259269062610482,0.9393843192746544,0.0266227889929908,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
SmolLM2-1.7B,24,13,300,2048,0.9474616869006064,0.6186799416776916,0.3893823215324714,0.9437958350975206,0.9533461674718404,0.0209584503969404,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
bloom-1b7,0,13,300,2048,0.8236489490769876,0.3210480439708311,0.2102703517099836,0.7936937023254456,0.8115715033305553,0.0797411270131613,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
bloom-1b7,6,13,300,2048,0.8698438584019493,0.8079453539161493,0.8676773839971131,0.8582404936515049,0.8777930100866742,0.0515429934099764,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
bloom-1b7,14,13,300,2048,0.7826511745362782,0.7995652767569366,0.8470403390190802,0.7652947613111816,0.786217198088357,0.0888131955403914,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
bloom-1b7,18,13,300,2048,0.8131464936328513,0.7349936427523122,0.7205615931583144,0.8009464955778118,0.8183835617626719,0.0707567645401188,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
bloom-1b7,24,13,300,2048,0.7759765810305418,0.3213280432785801,0.2932283158547815,0.7439448313260844,0.7638057409808127,0.119533244506311,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
bloom-7b1,0,13,300,4096,0.8091661470296835,0.3900870526740913,0.2510166737945902,0.779952166511753,0.8002416797398815,0.0810164594704718,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
bloom-7b1,8,13,300,4096,0.8527047830152925,0.8719812242244901,0.8636347476588601,0.8379727864347413,0.8594675522493302,0.0599640353135955,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
bloom-7b1,17,13,300,4096,0.7335823842752519,0.8573467831449822,0.8705093917344588,0.7121317611839451,0.7345637491246282,0.108689883631623,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
