model,flores_code,mexa_shared,aar_shared,q_L,r_content,log_tokens,macro_family_g,script_g,fertility,acc_native,acc_trans,acc
TowerBase-7B,tam_Taml,0.0,-1.0528230441586903,0.3351161068083809,,9.641283555217916,Dravidian,other,6.100917647058823,0.2545454545454545,0.28,0.2672727272727273
TowerBase-7B,tel_Telu,0.0,-0.7892924451054101,0.3351161068083809,,9.195061276656201,Dravidian,other,7.609270588235294,0.2664233576642336,0.27555555555555555,0.2709894566098946
TowerBase-7B,mar_Deva,0.006666666666666667,-1.2123419209144783,0.3351161068083809,,9.291197362643686,Indo-European,Deva,5.015682352941177,,0.2544444444444444,0.2544444444444444
TowerBase-7B,urd_Arab,0.0033333333333333335,-1.2497342986044453,0.3351161068083809,,9.431854501264098,Indo-European,Arab,3.964352941176471,0.23295454545454544,0.2722222222222222,0.25258838383838383
TowerBase-7B,vie_Latn,0.006666666666666667,-1.1046743573430466,0.3351161068083809,,10.743353922054286,other,Latn,2.1605588235294118,0.2727272727272727,0.27666666666666667,0.27469696969696966
TowerBase-7B,ind_Latn,0.04,-0.6274016568999807,0.3351161068083809,,10.081454105942349,Austronesian,Latn,1.3422529411764705,0.26,0.28888888888888886,0.27444444444444444
TowerBase-7B,zsm_Latn,0.05333333333333334,-0.4082293295673552,0.3351161068083809,,7.287263587861631,Austronesian,Latn,1.3803882352941177,0.2774451097804391,0.28444444444444444,0.2809447771124418
TowerBase-7B,tha_Thai,0.0033333333333333335,-1.1516025424337015,0.3351161068083809,,10.196379987855126,Tai-Kadai,other,5.162605882352942,,0.2722222222222222,0.2722222222222222
TowerBase-7B,zho_Hans,0.0033333333333333335,-0.8070941507089409,0.3351161068083809,,11.356131798505956,Sino-Tibetan,other,4.402152941176471,0.26788990825688075,0.3,0.28394495412844034
TowerBase-7B,jpn_Jpan,0.0033333333333333335,-0.8309347853356318,0.3351161068083809,,11.032916144087627,other,other,5.0625647058823535,0.2654690618762475,0.3088888888888889,0.2871789753825682
TowerBase-7B,kor_Hang,0.0033333333333333335,-1.2368865836330258,0.3351161068083809,,10.393846195528992,other,other,5.392352941176471,0.284,0.31555555555555553,0.29977777777777775
TowerBase-7B,fin_Latn,0.02,-0.44542625471434183,0.3351161068083809,,10.461273505456898,Uralic,Latn,1.6468823529411765,0.27223230490018147,0.2811111111111111,0.2766717080056463
TowerBase-7B,hun_Latn,0.023333333333333334,-0.5524264379902765,0.3351161068083809,,10.637669631397417,Uralic,Latn,1.797864705882353,0.2727272727272727,0.26555555555555554,0.2691414141414141
TowerBase-7B,est_Latn,0.01,-0.6446177727989919,0.3351161068083809,,9.944761723531126,Uralic,Latn,1.6741529411764706,0.23214285714285715,0.28888888888888886,0.260515873015873
TowerBase-7B,kat_Geor,0.0033333333333333335,-1.065902471206545,0.3351161068083809,,9.417907523376437,other,other,6.757517647058824,0.246,0.28555555555555556,0.2657777777777778
TowerBase-7B,amh_Ethi,0.0,-0.895358376144759,0.3351161068083809,,8.5541337799261,Afro-Asiatic,other,9.0556,,0.2633333333333333,0.2633333333333333
TowerBase-7B,swh_Latn,0.02,-0.435235185323153,0.3351161068083809,,7.487255902011655,Atlantic-Congo,Latn,1.6242705882352941,,0.2644444444444444,0.2644444444444444
TowerBase-7B,yor_Latn,0.0,-0.8861894098500847,0.3351161068083809,,4.632892380992985,Atlantic-Congo,Latn,2.822870588235294,,0.24444444444444444,0.24444444444444444
TowerBase-7B,khm_Khmr,0.0,-0.8753025667052317,0.3351161068083809,,8.873125289337338,other,other,7.467370588235294,,0.27444444444444444,0.27444444444444444
TowerBase-7B,mya_Mymr,0.0,-0.9086099064440588,0.3351161068083809,,8.94576714414124,Sino-Tibetan,other,9.286835294117648,,0.2644444444444444,0.2644444444444444
Yi-1.5-9B,deu_Latn,0.93,0.036536673263290444,0.19687513027913273,,11.552705133249123,Indo-European,Latn,1.3225588235294117,0.460431654676259,0.7666666666666667,0.6135491606714629
Yi-1.5-9B,fra_Latn,0.9266666666666666,0.010323899668993655,0.19687513027913273,,11.504243358607456,Indo-European,Latn,1.2537352941176472,0.5918854415274463,0.7766666666666666,0.6842760540970565
Yi-1.5-9B,spa_Latn,0.9433333333333334,0.03805515247575376,0.19687513027913273,,11.572692346038526,Indo-European,Latn,1.2007941176470587,0.6127272727272727,0.7888888888888889,0.7008080808080808
Yi-1.5-9B,por_Latn,0.9466666666666667,0.03532317168685785,0.19687513027913273,,11.136535917638877,Indo-European,Latn,1.2411764705882353,0.5535390199637024,0.7988888888888889,0.6762139544262956
Yi-1.5-9B,ita_Latn,0.9333333333333333,0.04985013565105389,0.19687513027913273,,11.218657350111846,Indo-European,Latn,1.2658764705882353,0.6441605839416058,0.7733333333333333,0.7087469586374695
Yi-1.5-9B,nld_Latn,0.8566666666666667,0.02374504311584794,0.19687513027913273,,10.903264809073452,Indo-European,Latn,1.3371529411764707,0.5517241379310345,0.7333333333333333,0.6425287356321838
Yi-1.5-9B,swe_Latn,0.88,0.042902225115430175,0.19687513027913273,,10.585304823582218,Indo-European,Latn,1.4709764705882353,,0.7466666666666667,0.7466666666666667
Yi-1.5-9B,pol_Latn,0.6633333333333333,-0.010266936431415763,0.19687513027913273,,11.069183544489329,Balto-Slavic,Latn,1.8035588235294118,0.4653284671532847,0.6511111111111111,0.5582197891321978
