checkpoint,arm,seed,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
ckpt_armCS-P25_seed2,CS-P25,2,fad105eb82652ab66830d71f0443b6537148516de9289d80a1c1e31a63b40b7f,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.36686171835595094,0.030994309106540042,-0.23204293851737914,0.95894263166961,0.9571164171600441,0.939944895294949,True,0.6331382816440491,1625486.2875477932,941861.6910437824,1426252.0214084222,0.4070228083803571,0.23584277119485747,0.3571344204247854,14866.909610250765,10492.581419604436,7267.07609155651,4374.328190646329,188.715233234243,38.520369113248314
ckpt_armCS-W10_s2000_seed0,CS-W10_s2000,0,fbd77eee5ae525d979d21458a974787184195a40d4dabb504a069eb82956891a,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.38071141789120144,0.03980221290413507,-0.20552403132858008,0.8616769316950659,0.8554862613705834,1.1179086318805487,False,0.6192885821087986,1541051.032859236,947370.4839910446,1505178.4831497218,0.3858801664811787,0.23722217648012922,0.3768976570386921,13358.956660884414,9378.44037553781,6422.349189747659,3980.516285346604,178.9571238351012,45.81359327603189
ckpt_armCS-W10_s2000_seed1,CS-W10_s2000,1,6baaedbf531eaaba08a06ab381bdb1b5a66f42890edcd734483ad91126a3f4f2,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3752882824774496,0.039981396215448335,-0.20554046259063938,0.904317864795072,0.8991142779964761,1.0817033214160874,True,0.6247117175225504,1564766.9785750674,940015.5229930796,1488817.4984318523,0.39181865449095243,0.23538048953152038,0.3728008559775272,14020.037811266471,9856.72129143865,6755.199949604546,4163.316519827822,181.71911289402806,44.32984467552146
ckpt_armCS-W10_s2000_seed2,CS-W10_s2000,2,85e768c86213a3a6523323110684836d3b1c48f09800849c4ef34bdd09c0741c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.35570305768009414,0.037697806533285395,-0.20955445809078976,0.872539543070434,0.8631328294112711,1.0888726792643326,False,0.6442969423199059,1636474.0010637133,903463.5550129886,1453662.4439232973,0.40977413888814945,0.2262278533185569,0.36399800779329367,13527.364505228246,9462.267417169303,6536.597287272265,4065.0970880589425,179.62365088096814,44.62365584679519
ckpt_armCS-W10_seed0,CS-W10,0,ca323b10ef1409769e10a1955dfab97dc49e824098bf3843c57d583d1c140587,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.36283403177452467,0.02659897495934027,-0.23730213510103645,0.9643569762908389,0.9657417526515187,0.9309555140430662,True,0.6371659682254753,1638741.9692545063,933181.2830473194,1421676.7476981743,0.4103420395769497,0.23366919146817894,0.35598876895487136,14950.850577545554,10587.138396470677,7205.105987283075,4363.712181074877,189.07648663651585,38.15197061919236
ckpt_armCS-W10_seed1,CS-W10,1,1741451168667f93cf86b6e01a1c2e50eb66a61b4a89b48ba01879c4f7cf87ec,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3713454026946583,0.030532050549989975,-0.22450386743855832,0.9528512984789966,0.9509542574765444,0.9627938730154232,True,0.6286545973053417,1599088.5142465015,944579.3776305604,1449932.1081229395,0.4004127890240638,0.2365232816582933,0.36306392931764303,14772.472991249795,10425.02750344492,7203.9721694637055,4347.445487804871,187.73546351333758,39.456754916351024
ckpt_armCS-W10_seed2,CS-W10,2,f01f99c64bcbdbde657dfe84daca22494cb989a96cab86b7d84e5f0014f58aa4,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.364321386161218,0.031942920283941294,-0.22056113636612287,0.9767140872157812,0.9770342764666049,0.9281882393608977,True,0.635678613838782,1630478.6314025803,934463.1424858442,1428658.2261115774,0.4082728944818158,0.23399016989329022,0.357736935624894,15142.428306074631,10710.9349623202,7339.999181669951,4431.493343754431,189.6709569505887,38.03856350061715
ckpt_armCS-W25_s2000_seed0,CS-W25_s2000,0,94305f19519bb75623b72c7e470dc2ec4fb5b5d14cafe2d28335a971df85644c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3768183335279187,0.04005026203745311,-0.2168514699449493,0.8867752409787684,0.8766325731746387,1.0516567570098554,False,0.6231816664720813,1571121.1618171185,950007.5015330976,1472471.3366497818,0.39340974604795653,0.2378824873630554,0.368707766588988,13748.066794450237,9610.261076082006,6696.711457172626,4137.805718368232,181.31834589514162,43.09849084051833
ckpt_armCS-W25_s2000_seed1,CS-W25_s2000,1,601479e1f5407837bbbd68949271e2609a4cbcce15d22d85cd598bbca93554e4,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.373795967259569,0.039758799909314205,-0.21342762142769087,0.9130403563599393,0.9071636295348029,1.051807808619571,True,0.626204032740431,1586917.858523489,947268.7253263872,1459413.4161501226,0.39736524902931925,0.2371966960452693,0.3654380549254114,14155.266436408809,9944.963928255513,6886.242488212089,4210.302508153295,182.39678867813842,43.10468116485598
ckpt_armCS-W25_s2000_seed2,CS-W25_s2000,2,0539ce6d8e5e451707dabe5033cd5d8af7aa316c41763c9e6164a18f911f784a,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3775120889112913,0.03859567098056133,-0.21722715739492435,0.9066688880283968,0.8998063392724853,1.0581825951188988,True,0.6224879110887087,1567584.4887437155,950672.4296951777,1475343.081561108,0.392524160843278,0.23804898580107609,0.3694268533556459,14056.486759041984,9864.30815250977,6742.854771849141,4192.178606532217,181.52184396902422,43.36592959569639
ckpt_armCS-W25_seed0,CS-W25,0,b423da7d99828613d8376f65c28bcde673bc7b0a47bed2af7047468f607ccdc5,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.37028657289269684,0.029288875418789065,-0.24015809684086786,0.9387954792297049,0.9336387678209072,0.9426659419333775,True,0.6297134271073032,1610601.868621401,947072.4627327479,1435925.6686458508,0.4032957403398941,0.23714755176601263,0.35955670789409333,14554.559440036192,10235.202961963138,7260.192709037058,4319.3564780730585,187.6027502361424,38.631881736393886
ckpt_armCS-W25_seed1,CS-W25,1,e1a8ca987e5b8821b944379a31312e0c2c9677ec07e4f177c9115bbe768a5fef,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3746891323823628,0.029494859013362313,-0.23832855740282047,0.9796392654070777,0.9775704325278564,0.9120765453623638,True,0.6253108676176372,1593858.8820675728,955047.533296665,1444693.584635761,0.39910328577413196,0.23914451454744223,0.36175219967842587,15187.77863082572,10716.812681086103,7445.133509273272,4470.965949739618,190.18571202534295,37.378281814988675
