study,seed,arm,is_control,trained_lfs,trained_mexa,trained_aar10,heldout_lfs,heldout_mexa,heldout_aar10,cvp_vs_frozen,ppl_geomean_ratio_vs_control,context_trained,context_heldout,delta_mexa_vs_control,delta_aar10_vs_control,delta_context_trained_vs_control,delta_context_heldout_vs_control,checkpoint,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
wordalign,0,WA-C,0,0.5073053453068863,0.4855555555555555,-0.07918721064925194,0.5417401359281502,0.60375,-0.06972371076699346,0.04567949949160887,1.2073607830920277,0.3139575441678365,0.4952540425459544,0.09555555555555556,0.01740482946236928,-0.011109566688537575,-0.016313314040501847,ckpt_armWA-C_seed0,82da4b3f331fe6515f88286708a17d62d5897803936ddf3d631aa4b7c443220e,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.33815795096166457,0.040420428575613156,-0.2104096639075906,0.08091820685728,0.055050400600357305,5.617560801853095,False,0.6618420490383354,1619164.2309755632,827286.9023850756,1547148.8666393603,0.4054397613620702,0.2071531706693399,0.3874070679685899,1254.5105697055224,603.501099892327,220.07980341776582,651.0094698131952,38.32407571384665,230.21617191249746
wordalign,0,WA-D,0,0.5010070973181606,0.48666666666666664,-0.07727143168449402,0.5356595106803416,0.6079166666666667,-0.0689273455645889,0.04772735906901578,1.2277650764690957,0.31451776703198747,0.49561973492304484,0.09666666666666668,0.019320608427127198,-0.010549343824386603,-0.015947621663411404,ckpt_armWA-D_seed0,1ad0dbe5f421aed35d631afd8348122c055b803b812443b5daca9da2c38b2d4b,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3433992664349772,0.04112451562927292,-0.2141411875745517,0.08416916646551935,0.057229288022309414,5.521187152941024,False,0.6566007335650228,1601241.252488381,837442.0608768349,1554916.686634782,0.4009518360597911,0.20969602886539346,0.38935213507481536,1304.91162712657,627.3875919314262,229.32425168845546,677.5240351951439,38.66915475067,226.26663343692684
wordalign,0,WA-E,0,0.4878774746386856,0.46222222222222226,-0.08911865142484506,0.5264333899348007,0.57625,-0.10418195032980293,0.2311822347272175,1.0616438312945942,0.3250629742940267,0.5073874358336131,0.0722222222222223,0.007473388686776161,-4.136562347378803e-06,-0.004179920752843125,ckpt_armWA-E_seed0,d6fa12d3589237f896f86880712092b5c12b987a86b6df514b82f891e0675a2a,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.35725020942319474,0.03916839628074558,-0.1926076311689908,0.3187054139077475,0.2747330554378947,2.5158228220638392,False,0.6427497905768053,1577404.2163039816,876745.500164094,1539450.2835319233,0.394983026919066,0.21953763525743544,0.3854793378234985,4941.030281044493,3011.8164323126284,1263.729441026459,1929.2138487318646,94.68301684794375,103.1022395190765
wordalign,0,WA-F,0,0.5073619141283783,0.4844444444444444,-0.0861336129407088,0.5421478405526522,0.6004166666666667,-0.07992175028994097,0.04360435978584055,1.2272025973042129,0.31917789896329246,0.49560212850570684,0.09444444444444444,0.010458427170912415,-0.005889211893081614,-0.015965228080749405,ckpt_armWA-F_seed0,117aa0f78aabe5b354d90067de5cb985a11d0598c3561f1f5f5285d574ca2a5f,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.33699612853903227,0.03666841620993532,-0.2193933613586931,0.08029117155583408,0.05376449568312678,5.660088423854716,False,0.6630038714609677,1615767.2797863097,821273.2102275302,1556559.5099861592,0.4045891626067483,0.20564733829815965,0.389763499095092,1244.7893654945863,589.4041083456291,209.73478399067665,655.3852571489573,38.0737626664081,231.95901844021554
wordalign,0,WA-G,0,0.48988771074987786,0.3877777777777778,-0.09655207271377246,0.5098985856754564,0.5420833333333334,-0.0867364730220288,1.0130884426364224,0.996455859863693,0.3263774593671163,0.5141494445006053,-0.002222222222222181,3.9967397848755803e-05,0.001310348510742243,0.002582087914149045,ckpt_armWA-G_seed0,4154c3105ff9050606886f4825e2268da41d5f63b4073ee69dbec3626537ef8e,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.37350242208855444,0.035054242777746825,-0.19189171366063842,1.0152959219645292,1.0159700351584826,0.9280232125630282,True,0.6264975779114456,1585352.323517044,945147.9998874484,1463099.6765955086,0.39697323806015716,0.23666566503591951,0.3663610969039233,15740.579468473772,11137.776055925937,7737.02528625012,4602.803412547835,193.42807144514504,38.031800451847666
wordalign,1,WA-A,0,0.44456918453047795,0.4444444444444444,-0.09022118772069614,0.5001732209757385,0.5662499999999999,-0.09214922529645264,1.0,0.559342283875166,0.31241462151209515,0.4925253816445669,0.04777777777777775,0.006729246427615479,0.007656734784444175,0.0038352787494659313,Qwen3-0.6B-Base,babeeddbc725dd6b3d817a0b53489570834f6123286e97ea57935c8b72cb5cdb,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.39092226392623697,0.040464773070830344,-0.19499514186792696,1.0,1.0,1.0,True,0.609077736073763,1464256.6155364735,939798.7764326446,1589544.6080308822,0.3666507951563685,0.23532621605384726,0.39802298878978415,15503.440059147299,10962.701330249902,7493.574007113291,4540.738728897399,190.97729061969892,40.981518497593264
wordalign,1,WA-B,1,0.47917914383899746,0.39666666666666667,-0.09695043414831161,0.5027457359697295,0.5491666666666667,-0.08509723551105708,1.0149789679238799,1.0,0.304757886727651,0.48869010289510095,0.0,0.0,0.0,0.0,ckpt_armWA-B_seed1,4f23ae10560c1857488fb86237c7e76f019b3e23c619900a4996a62913cd7620,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.38011589674031276,0.03655796806451658,-0.19709530707862036,1.0156388106831848,1.0182627391137544,0.9312945269139289,True,0.6198841032596872,1561869.052196761,957745.5725106728,1473985.3752925675,0.3910930118681792,0.23982010529614195,0.36908688283567886,15745.895423170407,11162.910284626263,7759.182234555203,4582.985138544142,193.09531030553526,38.165863881430546
wordalign,1,WA-C,0,0.48699189549559524,0.49222222222222217,-0.08503960445523262,0.5252566824733151,0.5970833333333333,-0.08543311676476151,0.05448954701957605,1.136164249318176,0.28926499048868815,0.4872755853335063,0.0955555555555555,0.011910829693078995,-0.015492896238962828,-0.0014145175615946637,ckpt_armWA-C_seed1,096a2cd803304ac32ff634f3e3da96e2f6d69b3d0b50fca1ef876c2a87cde0ba,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3502755440017259,0.044393858530008316,-0.19830559252316615,0.09075728375766208,0.06312342020009505,5.431130494657588,False,0.6497244559982741,1541398.877680232,830989.6994311801,1621211.422888588,0.38596726704733375,0.20808035342327227,0.405952379529394,1407.0501086679367,692.0032025975056,221.18491085417705,715.0469060704311,39.30449851432029,222.5759748296528
wordalign,1,WA-D,0,0.48476717872396846,0.4922222222222223,-0.08725994825363159,0.5211364820325257,0.6020833333333333,-0.07623763853916898,0.05880424187053945,1.132438678543381,0.2887164052327474,0.4862255533536275,0.09555555555555562,0.009690485894680023,-0.016041481494903587,-0.0024645495414734597,ckpt_armWA-D_seed1,b1ceb198e134d87ef496c63a40b972424a88cea387ffedd5b1c3ffbf99a3eb19,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3538673621380791,0.04440355921322343,-0.20352589808448654,0.09854315752251636,0.06928018834582561,5.206481835099518,False,0.6461326378619209,1556682.8478694083,852548.2552374324,1584368.8968931586,0.38979438298012037,0.21347862961674494,0.3967269874031347,1527.7579358894425,759.4980129387461,228.90081167955225,768.2599229506964,39.93461648962576,213.3695316325142
wordalign,1,WA-E,0,0.47870227689495165,0.46444444444444444,-0.10489122134943803,0.5189799938017594,0.5791666666666667,-0.11452993203420192,0.2277268285138912,1.0981531998814977,0.3027085089683533,0.4906466571489969,0.06777777777777777,-0.007940787201126412,-0.002049377759297699,0.001956554253895959,ckpt_armWA-E_seed1,47cd5a0456ced96001b2c475ebc60a7e4ced0497b8775b5233a94942c53c5236,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3614632727192608,0.036281021160669044,-0.2158926829772141,0.3250023434974631,0.26989897158530934,2.510176941603658,False,0.6385367272807392,1559535.076774485,882822.5984306557,1551242.3247948592,0.39050858292630336,0.2210593445589583,0.38843207251473844,5038.65435149532,2958.8218148313513,1135.5792989285035,2079.8325366639688,91.48288557683878,102.8708627645624
wordalign,1,WA-F,0,0.5051643277260343,0.4888888888888889,-0.09042249992489815,0.5368767105942756,0.5995833333333334,-0.07860330946277827,0.0520033023294645,1.1495131639781382,0.29776383280754093,0.5028395720322926,0.0922222222222222,0.006527934223413467,-0.006994053920110044,0.014149469137191617,ckpt_armWA-F_seed1,de44df0942844a63d583879761a2e8ba6b7312661983eef466a6f9587dd15324,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3406763660139187,0.04216554084939542,-0.20846400579430036,0.09042813313054826,0.0632182720989016,5.4534466889027895,False,0.6593236339860813,1605366.8131062347,829502.3927807865,1558730.7941129797,0.4019848790830915,0.20770793088461195,0.3903071900322965,1401.947141650047,693.0430356347288,215.1092827828806,708.9041060153182,39.198841676067424,223.4905263569084
wordalign,1,WA-G,0,0.4780054017208086,0.39444444444444443,-0.12364440535505612,0.5016085618011812,0.5479166666666666,-0.10556240286678076,0.9913641841549226,1.0228255745675978,0.3056406327088674,0.48862109502156575,-0.0022222222222222365,-0.026693971206744507,0.000882745981216404,-6.900787353519844e-05,ckpt_armWA-G_seed1,74060e7a56a2c0c90ccd130a155e838cca1271875983f70a663eed749bd82ee2,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3805522531673935,0.013361374829711404,-0.28534051617542794,1.010391290095188,1.0114163102091318,0.9371024233940619,True,0.6194477468326065,1559406.0846327688,958007.3575928387,1476186.557774393,0.39047628321133027,0.2398856564485273,0.3696380603401424,15664.540802275256,11087.854929366096,7659.849644080873,4576.685872909158,193.44471501298747,38.40388029846322
