model,model_family,language,flores_code,content,delta_matched,delta_mismatched,content_ci_lo,content_ci_hi,R_content,R_content_ci_lo,R_content_ci_hi,R_content_boot_valid_fraction,n_pairs,n_boot
Qwen2.5-0.5B,Qwen2.5,kat,kat_Geor,0.10691107511520387,0.015876901149749753,-0.0910341739654541,0.07171089822053908,0.1453920827507973,0.10189277648344226,0.06947158429703569,0.13617825292824173,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,khm,khm_Khmr,0.2713771820068359,0.0809241318702698,-0.19045305013656616,0.20035841339826585,0.3529840870499611,0.2586390092806825,0.19612596387077288,0.3250225243575862,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,kor,kor_Hang,0.513994996547699,0.2012777829170227,-0.3127172136306763,0.447540800511837,0.5850308925509452,0.48986858695797053,0.4448726303717788,0.5357097876313259,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,mar,mar_Deva,0.10863175153732298,0.018523085117340056,-0.09010866641998291,0.07088472002744668,0.1512419915199279,0.10353268608018316,0.06976979463847306,0.1388945442065686,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,mya,mya_Mymr,0.2042300081253052,0.09123234748840332,-0.11299766063690188,0.14542948496341704,0.26975662171840664,0.1946436563910672,0.1427055727860815,0.24857842710738862,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,nld,nld_Latn,0.6340704870223999,0.48335875153541563,-0.1507117354869842,0.5532719716131687,0.7232808971703052,0.6043078543481315,0.5582739631635738,0.6533073468784214,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,pol,pol_Latn,0.5223990094661712,0.30034208178520205,-0.22205692768096924,0.4331873349249363,0.6284306229650974,0.4978781239394584,0.4299697123540385,0.5730805826047893,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,por,por_Latn,0.7339244067668915,0.3622030997276306,-0.3717213070392609,0.6438176562786102,0.8357654386460781,0.6994747312554817,0.6495034285517807,0.7577192959311136,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ron,ron_Latn,0.55660684466362,0.3140611970424652,-0.2425456476211548,0.4800191564559938,0.6434738963246345,0.5304802776639457,0.4797950834797047,0.5848901901012978,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,rus,rus_Cyrl,0.5715673542022706,0.22162566900253292,-0.34994168519973756,0.5030703487992286,0.6420808866024017,0.5447385558905702,0.5013212084636912,0.5869529199029495,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,som,som_Latn,0.3554577469825745,0.284851016998291,-0.07060672998428347,0.28555460405349736,0.43248426055908196,0.3387729168711051,0.282849774966683,0.399291517266765,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,spa,spa_Latn,0.7194777679443359,0.40483153343200684,-0.3146462345123291,0.6340039785504341,0.8158472129702566,0.6857062031689621,0.6295816174986182,0.7431486421054853,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,swa,swh_Latn,0.3098917579650879,0.2333684003353119,-0.076523357629776,0.2413166300058365,0.3829163815975189,0.295345749674416,0.2383010703710681,0.3544809068918958,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,swe,swe_Latn,0.523393988609314,0.4273004710674286,-0.09609351754188537,0.44370584151148795,0.6092898675203323,0.49882639975960785,0.44169988074133415,0.5626179887021938,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,tam,tam_Taml,0.10138656377792364,0.037738955020904574,-0.06364760875701907,0.06449773794412618,0.14614155930280692,0.09662758016712829,0.06293650201823885,0.13411764605505158,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,tel,tel_Telu,0.07059352397918701,0.027363986968994142,-0.04322953701019287,0.04020755004882811,0.10557610315084451,0.06727993477045212,0.03941718078196155,0.09636129177186536,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,tha,tha_Thai,0.6141485154628754,0.39939886569976807,-0.2147496497631073,0.5242908927798271,0.7075800131261347,0.5853210001514381,0.532190000949212,0.6381741653002166,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,tur,tur_Latn,0.45601731538772583,0.29924720287323,-0.15677011251449588,0.3777531228661537,0.5396571002602576,0.4346123199987646,0.3759731194571162,0.4944032755457368,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ukr,ukr_Cyrl,0.38060341358184824,0.1545886135101318,-0.22601480007171634,0.31622348272800455,0.44661572068929656,0.36273827110186235,0.31832705521273374,0.4068345212677548,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,urd,urd_Arab,0.14034913778305053,-0.04530454874038698,-0.1856536865234375,0.09302526646852494,0.197396054148674,0.13376129002876821,0.09149648156433425,0.1809605218045719,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,uzb,uzn_Latn,0.17737724304199218,0.09563559770584108,-0.08174164533615112,0.12820843088626865,0.23252440237998961,0.16905133316685436,0.12513633990630643,0.21679003796085008,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,vie,vie_Latn,0.7183943665027619,0.35660959720611574,-0.3617847692966461,0.6234909060299396,0.8274612961411475,0.6846736555043803,0.629178506992656,0.7462865905693217,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,zho-CN,zho_Hans,0.7230059397220612,0.5458531165122986,-0.17715282320976258,0.641625018209219,0.8172419522106646,0.6890687661022744,0.6430847106493818,0.7367074776954609,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,zul,zul_Latn,0.33807475090026856,0.2973072600364685,-0.04076749086380005,0.2746234207153321,0.40819611823558805,0.32220586118937744,0.2672421480735551,0.3770119887639,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,amh,amh_Ethi,0.09869295716285703,0.06208471894264218,-0.03660823822021487,0.05201406279206276,0.15572163721919058,0.09163798518902576,0.050097575997608106,0.1402659121375742,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,arb,arb_Arab,0.574758208990097,0.33321945905685424,-0.24153874993324279,0.5064433099925517,0.6471957630515098,0.5336721662498491,0.487500091737769,0.5808410517268885,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,aze-Latn,azj_Latn,0.3545393919944763,0.2546103119850159,-0.09992908000946046,0.28567098239064215,0.4272768644690513,0.3291954814861228,0.27451699535155655,0.3819737106009526,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ben,ben_Beng,0.2903308355808258,0.1472457242012024,-0.1430851113796234,0.23909773942828177,0.34491921544075005,0.26957681252747046,0.22712124020422794,0.308029311433232,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ces,ces_Latn,0.6168551886081696,0.47738963961601255,-0.13946554899215702,0.5413039252460002,0.7012549141347408,0.572759883404559,0.5238597549382049,0.622732977791727,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,deu,deu_Latn,0.7379107129573822,0.6208167934417724,-0.11709391951560978,0.655925292134285,0.8261889971196651,0.6851618689794511,0.640212931907308,0.7295608291960236,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ell,ell_Grek,0.35907282948493957,0.3270695960521698,-0.032003233432769757,0.300167950451374,0.42176884421706184,0.3334048505186154,0.2867701869002458,0.383385078577944,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,eng,,1.0769874191284179,0.9755835890769958,-0.10140383005142212,0.9787487064599991,1.1788289003372192,1.0,1.0,1.0,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,fas,pes_Arab,0.4937726366519928,0.34301945447921744,-0.1507531821727753,0.416116001278162,0.5797271080613136,0.4584757703591302,0.39811924736359017,0.5206121937099388,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,fra,fra_Latn,0.7698862981796265,0.5435433125495911,-0.2263429856300354,0.6875519246757031,0.858047359406948,0.7148517099695356,0.6713148732689515,0.756521749407109,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,hau,hau_Latn,0.3584269905090332,0.329633594751358,-0.028793395757675155,0.28672613480687137,0.42992179298400873,0.3328051787263218,0.2694743078612366,0.3951757524033779,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,heb,heb_Hebr,0.4725832235813141,0.3398652422428131,-0.13271798133850102,0.4092449362277985,0.5465769177675247,0.4388010622851707,0.39168510886417235,0.4891808800226303,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,hin,hin_Deva,0.3519451713562012,0.24698357343673705,-0.1049615979194641,0.2940070944130421,0.4123378291726112,0.3267867062374996,0.2827241894167104,0.37214712257166777,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,hye,hye_Armn,0.15172250866889953,0.08282682657241819,-0.06889568209648132,0.10706139200925824,0.1977730170190334,0.14087676975064872,0.10046829669307492,0.18127510032751382,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ind,ind_Latn,0.735784740447998,0.4663797378540039,-0.26940500259399414,0.6535817137658596,0.8253056122064589,0.6831878695885346,0.6414806636031354,0.7252730209765916,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ita,ita_Latn,0.7614143037796021,0.6058328199386597,-0.1555814838409424,0.6751499644815921,0.8617335779070854,0.7069853280141358,0.6539317794039963,0.755648432625905,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,jpn,jpn_Jpan,0.6456821513175964,0.4515819811820984,-0.19410017013549813,0.5667822669744491,0.7268039198219776,0.5995261781610529,0.5480583001024615,0.6535448882676608,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,kat,kat_Geor,0.170963317155838,0.14687890291213987,-0.02408441424369813,0.11846046900749203,0.2244696271419525,0.15874216738222888,0.11312937993166353,0.20482112775560576,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,khm,khm_Khmr,0.3275199043750763,0.25019090414047235,-0.07732900023460389,0.2513593130409717,0.4167532083392142,0.3041074561856358,0.23568867756679812,0.3734763758602128,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,kor,kor_Hang,0.6501042962074279,0.4551539707183838,-0.1949503254890442,0.5705843595862389,0.7328072531223296,0.6036322102383916,0.563411280367433,0.6433873590051924,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,mar,mar_Deva,0.23370837092399596,0.1348699140548706,-0.0988384568691254,0.1805145838856697,0.29613743990659713,0.21700195078706766,0.1692903156208907,0.2693317058407506,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,mya,mya_Mymr,0.21838659048080444,0.1518868792057037,-0.06649971127510072,0.14684591773152347,0.2978628553152083,0.2027754332149394,0.13881710553045512,0.26728488620254176,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,nld,nld_Latn,0.7312931346893311,0.6269695270061493,-0.1043236076831818,0.6545953684151172,0.8118709609806537,0.6790173419863628,0.6400632740609992,0.7155797050986458,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,pol,pol_Latn,0.646823890209198,0.49506779670715334,-0.1517560935020447,0.5692611331045628,0.7303435792326927,0.600586300936234,0.553028784886602,0.6504830799553467,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,por,por_Latn,0.7658376681804657,0.4294913566112518,-0.33634631156921385,0.6890081217288971,0.8514669232368469,0.7110924924269229,0.6709256136829335,0.7515662600692316,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ron,ron_Latn,0.6302912652492523,0.504407422542572,-0.1258838427066803,0.5528738160133362,0.7056974993646145,0.5852354949135182,0.539989492911879,0.6283089799041776,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,rus,rus_Cyrl,0.6599181199073791,0.3449943327903748,-0.3149237871170044,0.583926717966795,0.7382670505940914,0.6127445021051744,0.5651010545545178,0.6629310851867248,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,som,som_Latn,0.3426752197742462,0.33618242502212525,-0.006492794752121009,0.2711759168207646,0.41855233609676357,0.3181794083087486,0.25704401717607717,0.3819042256231991,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,spa,spa_Latn,0.7579686951637268,0.47310211420059206,-0.2848665809631348,0.6861108947396278,0.8352152942419052,0.7037860254459928,0.6624163774307247,0.7452089605776262,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,swa,swh_Latn,0.3289776575565338,0.30832300305366517,-0.020654654502868672,0.2655438039302826,0.391974241822958,0.30546100327037073,0.24790512648515842,0.3629669361000216,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,swe,swe_Latn,0.6510040307044983,0.5585623121261597,-0.09244171857833866,0.5734237827658654,0.7383060727119446,0.6044676280725186,0.5489269296755747,0.6635800000828083,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,tam,tam_Taml,0.16727997064590455,0.08375389099121094,-0.08352607965469361,0.11579582878947252,0.22794199490547176,0.15532212138678514,0.11179534504912356,0.20130531306623367,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,tel,tel_Telu,0.13836204409599306,0.08957018494606019,-0.048791859149932885,0.09824433109164239,0.18009960585832602,0.12847136525324168,0.09415645433332959,0.16297714673960612,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,tha,tha_Thai,0.7018631744384766,0.46503238916397094,-0.23683078527450568,0.6226791312396527,0.7913881745338439,0.6516911543929444,0.6020268068810583,0.7063693653478864,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,tur,tur_Latn,0.5839796829223632,0.4496421718597412,-0.1343375110626221,0.5047569718062878,0.6688195336461066,0.5422344519074931,0.48429017140036557,0.6004533122117601,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,ukr,ukr_Cyrl,0.539008355140686,0.3793831670284271,-0.15962518811225898,0.46238400000333785,0.6158279470801353,0.5004778566279758,0.44398363093514104,0.5559421252319419,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,urd,urd_Arab,0.3007995641231537,0.18238110303878785,-0.11841846108436588,0.24002814641594888,0.36370233798027024,0.2792971939881936,0.2313363868970842,0.3255699520756336,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,uzb,uzn_Latn,0.23075737118721004,0.16066251873970028,-0.07009485244750976,0.17384768703579903,0.28449314430356015,0.21426190045372756,0.1648147630403747,0.26168779691648525,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,vie,vie_Latn,0.7349684512615204,0.4046494579315186,-0.3303189933300018,0.6621173345148563,0.8127913763821125,0.6824299320565083,0.646995904103926,0.7178006250704794,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,zho-CN,zho_Hans,0.8026980817317962,0.6359199416637421,-0.1667781400680542,0.7131558272838592,0.8993795515298842,0.7453179744489513,0.6954333055054776,0.7919684549089013,1.0,100,2000
Qwen2.5-1.5B,Qwen2.5,zul,zul_Latn,0.3590394377708435,0.3249901831150055,-0.03404925465583802,0.29310474765300754,0.43125700572133063,0.3333738457793743,0.27409619517633294,0.3917735962994309,1.0,100,2000
Qwen2.5-3B,Qwen2.5,amh,amh_Ethi,0.1764340031147003,2.1797407376766205,2.00330673456192,0.13078860166668896,0.22788614419102668,0.16022731277452346,0.11936686667376693,0.2007858523108549,1.0,100,2000
Qwen2.5-3B,Qwen2.5,arb,arb_Arab,0.6659905922412872,2.5561638140678404,1.8901732218265535,0.5905431334674359,0.7428498331010341,0.6048147241694811,0.5572132351981094,0.650618636718832,1.0,100,2000
Qwen2.5-3B,Qwen2.5,aze-Latn,azj_Latn,0.4287670266628265,2.4011218667030336,1.972354840040207,0.35725887921452515,0.5029334444701671,0.38938179305405735,0.33529488733644625,0.44190950864395373,1.0,100,2000
Qwen2.5-3B,Qwen2.5,ben,ben_Beng,0.4753251326084137,2.4571750569343567,1.981849924325943,0.40758413457870485,0.5477908280789852,0.43166321314224354,0.3884711885630622,0.4738305997190476,1.0,100,2000
Qwen2.5-3B,Qwen2.5,ces,ces_Latn,0.6853078734874726,2.672349327802658,1.9870414543151855,0.6091706345677377,0.7618662675321101,0.6223575787754259,0.5783759294232044,0.6619114153102906,1.0,100,2000
Qwen2.5-3B,Qwen2.5,deu,deu_Latn,0.7612995779514313,2.7175787591934206,1.956279181241989,0.682246519446373,0.8401349547505378,0.6913689166381181,0.6498885229058093,0.7320308842991939,1.0,100,2000
Qwen2.5-3B,Qwen2.5,ell,ell_Grek,0.5082436561584472,2.536553339958191,2.0283096837997436,0.43555253246426595,0.5808792756795883,0.4615579413455016,0.4123045050492821,0.5091449496210075,1.0,100,2000
Qwen2.5-3B,Qwen2.5,eng,,1.1011481130123137,3.0255756509304046,1.9244275379180908,0.9941457935273648,1.2120597351193425,1.0,1.0,1.0,1.0,100,2000
Qwen2.5-3B,Qwen2.5,fas,pes_Arab,0.578444151878357,2.5451950287818907,1.966750876903534,0.507988300293684,0.654974392145872,0.5253100332669675,0.48210754654642446,0.5701607438328246,1.0,100,2000
Qwen2.5-3B,Qwen2.5,fra,fra_Latn,0.8003833305835724,2.6638084065914156,1.863425076007843,0.71871630397439,0.8820451620221138,0.7268625547511809,0.6869370729434275,0.7656336963101743,1.0,100,2000
Qwen2.5-3B,Qwen2.5,hau,hau_Latn,0.364083548784256,2.3627758765220643,1.9986923277378081,0.2903845157921314,0.4394913602471351,0.330639942512606,0.2700529598913002,0.3883227533668421,1.0,100,2000
Qwen2.5-3B,Qwen2.5,heb,heb_Hebr,0.6212507236003876,2.540877754688263,1.9196270310878754,0.5442335793077946,0.6996404925286769,0.5641845236431335,0.52108396370533,0.6075423146920581,1.0,100,2000
Qwen2.5-3B,Qwen2.5,hin,hin_Deva,0.4862349963188171,2.483916425704956,1.997681429386139,0.4204392233788967,0.5526605064570904,0.4415709299893063,0.39620296234556873,0.486462674505361,1.0,100,2000
Qwen2.5-3B,Qwen2.5,hye,hye_Armn,0.27392526984214777,2.260412484407425,1.986487214565277,0.21160493868589395,0.33703344571590416,0.2487633285705722,0.19882815023776082,0.2963034453047949,1.0,100,2000
Qwen2.5-3B,Qwen2.5,ind,ind_Latn,0.7924675881862641,2.6200192773342135,1.8275516891479493,0.706642351269722,0.8852963480353355,0.7196739283495481,0.6786992953351157,0.7640728149830488,1.0,100,2000
Qwen2.5-3B,Qwen2.5,ita,ita_Latn,0.8046991503238679,2.7521069264411926,1.9474077761173247,0.7232512923777104,0.885142862021923,0.7307819364304439,0.6930465206014211,0.7689421836272239,1.0,100,2000
Qwen2.5-3B,Qwen2.5,jpn,jpn_Jpan,0.7592061030864715,2.618371435403824,1.8591653323173523,0.6760459492206573,0.8433585753142832,0.6894677420002822,0.6437787519491269,0.734869332264155,1.0,100,2000
Qwen2.5-3B,Qwen2.5,kat,kat_Geor,0.3401619863510132,2.354220904111862,2.014058917760849,0.27694708451628686,0.40422707441449157,0.3089157419708617,0.26109985914154443,0.3551800554292554,1.0,100,2000
Qwen2.5-3B,Qwen2.5,khm,khm_Khmr,0.38851272225379946,2.361041805744171,1.9725290834903717,0.3114350634813309,0.4711985718011856,0.352825126486372,0.2934355675244403,0.41501387408926677,1.0,100,2000
Qwen2.5-3B,Qwen2.5,kor,kor_Hang,0.7518440437316894,2.6396063673496246,1.8877623236179353,0.665951977044344,0.8385562702417373,0.6827819390026797,0.639728976944332,0.7244510491075448,1.0,100,2000
Qwen2.5-3B,Qwen2.5,mar,mar_Deva,0.3954237413406372,2.3756390869617463,1.980215345621109,0.33112862101197243,0.46431978449225425,0.35910132040176806,0.3114671453672289,0.41022127131440855,1.0,100,2000
Qwen2.5-3B,Qwen2.5,mya,mya_Mymr,0.2507081925868988,2.262475777864456,2.0117675852775574,0.18381051209568974,0.3188136041760444,0.2276789013433066,0.1707725482953151,0.28445402496906047,1.0,100,2000
Qwen2.5-3B,Qwen2.5,nld,nld_Latn,0.7815301358699799,2.7178166842460634,1.9362865483760834,0.7014373515844345,0.8614268412292003,0.7097411571019423,0.6691612921371715,0.7527417360466613,1.0,100,2000
Qwen2.5-3B,Qwen2.5,pol,pol_Latn,0.743128467798233,2.6394968473911287,1.8963683795928956,0.6558648602366447,0.8314369194507598,0.6748669493382884,0.6265451360900579,0.722004737784465,1.0,100,2000
Qwen2.5-3B,Qwen2.5,por,por_Latn,0.8520774674415589,2.5804837024211884,1.7284062349796294,0.768479145616293,0.941199181884527,0.7738082255897489,0.738662414093902,0.8093182465786952,1.0,100,2000
