model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,lfs_vc_reml,0.48894322400211887,0.48894322400211904,0.48894322400211904,uniform-scale invariant,1.6653345369377348e-16,3.4059875568099037e-16,4.89943224002119e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,mexa_external,0.19861111111111107,0.19861111111111107,0.19861111111111107,uniform-scale invariant,0.0,0.0,1.9961111111111106e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,aar10,-0.11217987174363164,-0.11217987174481044,-0.11217987174481044,uniform-scale invariant,1.1787931741835678e-12,1.0508063129766415e-11,1.1317987174481042e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,mean_alignment_margin,-0.052773784250179624,-0.05277378425080887,-0.05277378425080887,uniform-scale invariant,6.292466547819231e-13,1.1923470407037914e-11,5.377378425080887e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,linear_cka,0.716346461999562,0.7163464619995622,0.7163464619995622,uniform-scale invariant,2.220446049250313e-16,3.0996817420613857e-16,7.173464619995622e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,cvp_within_raw,782.3240045787381,965.8321044181954,782.3240045787383,quadratic in uniform scale,1.1368683772161603e-13,1.4531937797669077e-16,0.0007823250045787383,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,cpres_shared_raw,520.4368250111637,642.5145987792147,520.4368250111639,quadratic in uniform scale,2.2737367544323206e-13,4.368900594963753e-16,0.0005204378250111639,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,mean_norm,54.86709889307655,60.96344321452949,54.867098893076545,linear in uniform scale,7.105427357601002e-15,1.2950251609708503e-16,5.4868098893076546e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,concept_rank_covariance_entropy,1.4157030406207398,1.4157030406207423,1.4157030406207423,uniform-scale invariant,2.4424906541753444e-15,1.7252846000135645e-15,1.4167030406207423e-06,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,concept_rank_singular_entropy,94.5582240198742,94.55822383789861,94.55822383789861,uniform-scale invariant,1.8197559370491945e-07,1.9244819363028715e-09,9.45592238378986e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,concept_participation_ratio,1.0846202694685079,1.0846202694685076,1.0846202694685076,uniform-scale invariant,2.220446049250313e-16,2.0472105415643668e-16,1.0856202694685077e-06,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,cvp_within_ratio,0.8099999999999998,1.0,0.81,quadratic preservation ratio,2.220446049250313e-16,2.741291418827547e-16,8.109999999999999e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,cpres_shared_ratio,0.8099999999999997,1.0,0.81,quadratic preservation ratio,3.3306690738754696e-16,4.11193712824132e-16,8.109999999999999e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,standardized,lfs_direct,0.7900691089438461,0.7900691089438461,0.7900691089438461,uniform-scale invariant after coordinate standardization,0.0,0.0,7.910691089438461e-07,PASS
