model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y,alpha,s2,alpha_shrunk
bloom-7b1,heb_Hebr,0.25666666666666665,Hebr,Afro-Asiatic,9.693476506485494,3.4849,0.043333333333333335,-0.05758555233478546,-0.013978960923850536,Afro-Asiatic,other,-4.304065093204169,0.3175146079717699,6.587837837837826,4.819635781369645e-06
EuroLLM-1.7B,amh_Ethi,0.27666666666666667,Ethi,Afro-Asiatic,8.5541337799261,11.091,0.0033333333333333335,-0.14633718132972717,-0.09952864050865173,Afro-Asiatic,other,-3.3004558118606235,2.0445875802931104,1.0085145449308752,0.0002027124822629395
EuroLLM-1.7B,som_Latn,0.20666666666666667,Latn,Afro-Asiatic,3.781970673912552,1.6397,0.05333333333333334,-0.18583005666732788,-0.0668712854385376,Afro-Asiatic,Latn,-4.304065093204169,1.60944017305685,6.587837837837826,2.4430105656554328e-05
EuroLLM-1.7B,arb_Arab,0.27,Arab,Afro-Asiatic,10.841073612355865,1.5275,0.9666666666666667,0.03245357424020767,0.1636241376399994,Afro-Asiatic,Arab,-3.5973122605884447,0.47368266051862573,1.7337328767123257,2.7319972254932776e-05
EuroLLM-1.7B,arb_Latn,0.2633333333333333,Latn,Afro-Asiatic,10.841073612355865,1.5275,,,,Afro-Asiatic,Latn,-4.011868340397864,-0.13022893919198575,3.7701498868778427,-3.4541195503420235e-06
EuroLLM-1.7B,heb_Hebr,0.24666666666666667,Hebr,Afro-Asiatic,9.693476506485494,4.1431,0.08333333333333333,-0.07859984040260315,-0.014227750711143017,Afro-Asiatic,other,-4.304065093204169,-0.001558487772979511,6.587837837837826,-2.3656666111460127e-08
SmolLM2-1.7B,amh_Ethi,0.27,Ethi,Afro-Asiatic,8.5541337799261,10.9377,0.01,-0.07975497841835022,-0.04461989179253578,Afro-Asiatic,other,-3.5973122605884447,0.7593370733715368,1.7337328767123257,4.37952863806267e-05
SmolLM2-1.7B,som_Latn,0.30333333333333334,Latn,Afro-Asiatic,3.781970673912552,1.8966,0.06,-0.1259121149778366,-0.03683948889374733,Afro-Asiatic,Latn,-2.56974552972503,2.3976650637892827,0.2870112514952153,0.0008350996526120233
SmolLM2-1.7B,arb_Arab,0.3,Arab,Afro-Asiatic,10.841073612355865,4.3379,0.11666666666666667,-0.06418962776660919,-0.007195768412202597,Afro-Asiatic,Arab,-2.639057329615259,0.7491571087476312,0.3214285714285716,0.00023299861206213873
SmolLM2-1.7B,arb_Latn,0.25333333333333335,Latn,Afro-Asiatic,10.841073612355865,4.3379,,,,Afro-Asiatic,Latn,-4.304065093204169,-1.1052061747424715,6.587837837837826,-1.677620828599304e-05
SmolLM2-1.7B,heb_Hebr,0.3,Hebr,Afro-Asiatic,9.693476506485494,4.7508,0.056666666666666664,-0.05502013489603996,-0.004596889950335026,Afro-Asiatic,other,-2.639057329615259,0.7535287240219901,0.3214285714285716,0.00023435824714991197
Falcon3-7B-Base,amh_Ethi,0.27666666666666667,Ethi,Afro-Asiatic,8.5541337799261,8.7125,0.006666666666666667,-0.11865401268005371,-0.06979571282863617,Afro-Asiatic,other,-3.3004558118606235,-0.008450149497822856,1.0085145449308752,-8.377976838599156e-07
Falcon3-7B-Base,som_Latn,0.24,Latn,Afro-Asiatic,3.781970673912552,1.7572,0.04,-0.13618023693561554,-0.04448549821972847,Afro-Asiatic,Latn,-4.304065093204169,-0.18621270525716938,6.587837837837826,-2.826570446257172e-06
Falcon3-7B-Base,arb_Arab,0.3,Arab,Afro-Asiatic,10.841073612355865,3.6352,0.29,-0.06606204062700272,0.0033397721126675606,Afro-Asiatic,Arab,-2.639057329615259,-0.15848799058448337,0.3214285714285716,-4.9292039527357815e-05
Falcon3-7B-Base,arb_Latn,0.2833333333333333,Latn,Afro-Asiatic,10.841073612355865,3.6352,,,,Afro-Asiatic,Latn,-3.0680529351336174,-0.7768391160040342,0.6671511627906979,-0.0001164237934965632
Falcon3-7B-Base,heb_Hebr,0.29333333333333333,Hebr,Afro-Asiatic,9.693476506485494,3.8586,0.08666666666666667,-0.06199542060494423,0.001553600886836648,Afro-Asiatic,other,-2.7916369172104756,-0.3262370003071342,0.4144802947415429,-7.86909084590667e-05
salamandra-2b,amh_Ethi,0.27,Ethi,Afro-Asiatic,8.5541337799261,11.0,0.006666666666666667,-0.3878615200519562,-0.21720781922340393,Afro-Asiatic,other,-3.5973122605884447,1.6583273150272495,1.7337328767123257,9.564516497794389e-05
salamandra-2b,som_Latn,0.20333333333333334,Latn,Afro-Asiatic,3.781970673912552,1.5545,0.04,-0.1671912521123886,-0.06026743724942207,Afro-Asiatic,Latn,-4.304065093204169,1.5206344463179153,6.587837837837826,2.3082100728079154e-05
salamandra-2b,arb_Arab,0.24333333333333335,Arab,Afro-Asiatic,10.841073612355865,7.0591,0.013333333333333334,-0.3755652606487274,-0.184864342212677,Afro-Asiatic,Arab,-4.304065093204169,0.2573225121317311,6.587837837837826,3.905964503320761e-06
salamandra-2b,arb_Latn,0.25,Latn,Afro-Asiatic,10.841073612355865,7.0591,,,,Afro-Asiatic,Latn,-4.304065093204169,0.06796699223053881,6.587837837837826,1.0316884466520314e-06
salamandra-2b,heb_Hebr,0.26666666666666666,Hebr,Afro-Asiatic,9.693476506485494,7.2925,0.013333333333333334,-0.3117995262145996,-0.1532028168439865,Afro-Asiatic,other,-3.7841896339182615,0.7630597385990061,2.4545454545454564,3.1086352518892746e-05
salamandra-7b,amh_Ethi,0.27666666666666667,Ethi,Afro-Asiatic,8.5541337799261,11.0,0.013333333333333334,-0.0939946323633194,-0.05649721622467041,Afro-Asiatic,other,-3.3004558118606235,0.6400557311124428,1.0085145449308752,6.345890355543371e-05
salamandra-7b,som_Latn,0.21333333333333335,Latn,Afro-Asiatic,3.781970673912552,1.5545,0.08,-0.10606511682271957,-0.029448436573147774,Afro-Asiatic,Latn,-4.304065093204169,0.20550641367528666,6.587837837837826,3.1194346402300897e-06
salamandra-7b,arb_Arab,0.2733333333333333,Arab,Afro-Asiatic,10.841073612355865,7.0591,0.4,-0.0387011356651783,0.01538609154522419,Afro-Asiatic,Arab,-3.4385849137337767,-0.19232534104050458,1.2954034824939167,-1.4845605849833885e-05
salamandra-7b,arb_Latn,0.22666666666666666,Latn,Afro-Asiatic,10.841073612355865,7.0591,,,,Afro-Asiatic,Latn,-4.304065093204169,-1.2471610404120894,6.587837837837826,-1.8930977641197032e-05
salamandra-7b,heb_Hebr,0.32,Hebr,Afro-Asiatic,9.693476506485494,7.2925,0.20333333333333334,-0.04746841639280319,0.004899016115814447,Afro-Asiatic,other,-2.2735975561207935,0.9585237837538463,0.18007202881152456,0.0005320047679501296
granite-3.1-8b-base,amh_Ethi,0.25,Ethi,Afro-Asiatic,8.5541337799261,9.142,0.006666666666666667,-0.10958953201770782,-0.06689445674419403,Afro-Asiatic,other,-4.304065093204169,-1.0410652779459442,6.587837837837826,-1.5802597144307182e-05
granite-3.1-8b-base,som_Latn,0.29333333333333333,Latn,Afro-Asiatic,3.781970673912552,1.6601,0.08333333333333333,-0.07528243958950043,-0.008158257231116295,Afro-Asiatic,Latn,-2.7916369172104756,1.2429071946304489,0.4144802947415429,0.0002997989075887068
granite-3.1-8b-base,arb_Arab,0.3933333333333333,Arab,Afro-Asiatic,10.841073612355865,2.8925,0.5066666666666667,-0.016374435275793076,0.055201172828674316,Afro-Asiatic,Arab,-1.442806571383233,0.8878809097652265,0.0591721690964525,0.0014979726966499341
granite-3.1-8b-base,arb_Latn,0.21,Latn,Afro-Asiatic,10.841073612355865,2.8925,,,,Afro-Asiatic,Latn,-4.304065093204169,-2.162733131956902,6.587837837837826,-3.2828681506680155e-05
granite-3.1-8b-base,heb_Hebr,0.27666666666666667,Hebr,Afro-Asiatic,9.693476506485494,3.2181,0.18666666666666668,-0.03281433507800102,0.022683143615722656,Afro-Asiatic,other,-3.3004558118606235,-0.9743989981036458,1.0085145449308752,-9.66076686876559e-05
Yi-1.5-9B,amh_Ethi,0.29,Ethi,Afro-Asiatic,8.5541337799261,11.2777,0.006666666666666667,-0.09137962758541107,-0.05975479632616043,Afro-Asiatic,other,-2.876385515921425,-0.8618808410602692,0.478653169014085,-0.00018002613804930548
Yi-1.5-9B,som_Latn,0.3466666666666667,Latn,Afro-Asiatic,3.781970673912552,1.8586,0.09666666666666666,-0.08905337005853653,-0.014828148297965527,Afro-Asiatic,Latn,-1.9108188292440431,0.6754681492987382,0.10646946055473316,0.0006338290029844683
Yi-1.5-9B,arb_Arab,0.58,Arab,Afro-Asiatic,10.841073612355865,5.0139,0.4666666666666667,-0.02525440603494644,0.0319686159491539,Afro-Asiatic,Arab,-0.24116205681688824,0.8395556832229154,0.02377672832218287,0.0035162090546872185
Yi-1.5-9B,arb_Latn,0.25666666666666665,Latn,Afro-Asiatic,10.841073612355865,5.0139,,,,Afro-Asiatic,Latn,-4.304065093204169,-3.412702873065558,6.587837837837826,-5.180229315689115e-05
Yi-1.5-9B,heb_Hebr,0.39,Hebr,Afro-Asiatic,9.693476506485494,7.1035,0.19,-0.03402769938111305,0.009681204333901405,Afro-Asiatic,other,-1.4718165345580525,-0.21382766783710228,0.06116175978588154,-0.0003490393821076166
Llama-3.1-8B,amh_Ethi,0.3466666666666667,Ethi,Afro-Asiatic,8.5541337799261,11.0993,0.07,-0.06821117550134659,-0.022669468075037003,Afro-Asiatic,other,-1.9108188292440431,0.03620663453548101,0.10646946055473316,3.3974681271975496e-05
Llama-3.1-8B,som_Latn,0.31,Latn,Afro-Asiatic,3.781970673912552,1.7704,0.24333333333333335,-0.09219258278608322,0.014287588186562061,Afro-Asiatic,Latn,-2.4423470353692043,0.08576205965733763,0.23399758454106281,3.6635174972941407e-05
Llama-3.1-8B,arb_Arab,0.6466666666666666,Arab,Afro-Asiatic,10.841073612355865,1.7784,0.9266666666666666,0.033914413303136826,0.166592538356781,Afro-Asiatic,Arab,0.11568439899946212,0.8136780443638524,0.021809500714825337,0.0037138137238226553
Llama-3.1-8B,arb_Latn,0.3233333333333333,Latn,Afro-Asiatic,10.841073612355865,1.7784,,,,Afro-Asiatic,Latn,-2.222163525683472,-1.713525400220274,0.1665996620933926,-0.0010279117417928683
Llama-3.1-8B,heb_Hebr,0.52,Hebr,Afro-Asiatic,9.693476506485494,4.3236,0.91,0.03127093240618706,0.1587909460067749,Afro-Asiatic,other,-0.5753641449035617,0.3468816120509838,0.027863511659807966,0.0012404794371914303
Qwen3-0.6B-Base,swh_Latn,0.2833333333333333,Latn,Atlantic-Congo,7.487255902011655,1.7453,0.06,-0.17150601744651794,-0.06133789196610451,Atlantic-Congo,Latn,-3.0680529351336174,-0.5406511480619658,0.6671511627906979,-8.102663256746035e-05
Qwen3-0.6B-Base,yor_Latn,0.2633333333333333,Latn,Atlantic-Congo,4.632892380992985,2.3489,0.023333333333333334,-0.14436855912208557,-0.073703333735466,Atlantic-Congo,Latn,-4.011868340397864,-0.6053129470908858,3.7701498868778427,-1.6054982156880692e-05
Qwen3-1.7B-Base,swh_Latn,0.29333333333333333,Latn,Atlantic-Congo,7.487255902011655,1.7453,0.04666666666666667,-0.10169243812561035,-0.023116597905755043,Atlantic-Congo,Latn,-2.7916369172104756,-1.2585565991406082,0.4144802947415429,-0.00030357366595827585
Qwen3-1.7B-Base,yor_Latn,0.25333333333333335,Latn,Atlantic-Congo,4.632892380992985,2.3489,0.013333333333333334,-0.13096532225608826,-0.06801558285951614,Atlantic-Congo,Latn,-4.304065093204169,-1.8918311688989755,6.587837837837826,-2.8716591058123744e-05
Qwen3-4B-Base,swh_Latn,0.47,Latn,Atlantic-Congo,7.487255902011655,1.7453,0.2733333333333333,-0.09753690659999847,0.024508409202098846,Atlantic-Congo,Latn,-0.8792494601938063,-0.3963717651006471,0.034354046468111646,-0.001150436032130805
Qwen3-4B-Base,yor_Latn,0.2966666666666667,Latn,Atlantic-Congo,4.632892380992985,2.3489,0.03666666666666667,-0.10196622461080551,-0.042389024049043655,Atlantic-Congo,Latn,-2.7128008038608074,-1.3507695025323212,0.3631577038398295,-0.00037184882473446587
Qwen3-8B-Base,swh_Latn,0.5733333333333334,Latn,Atlantic-Congo,7.487255902011655,1.7453,0.44333333333333336,-0.052445072680711746,0.054981816560029984,Atlantic-Congo,Latn,-0.2773192854162341,-0.11455175164230891,0.024100096981613355,-0.00047335244865446657
Qwen3-8B-Base,yor_Latn,0.30333333333333334,Latn,Atlantic-Congo,4.632892380992985,2.3489,0.05333333333333334,-0.0946744829416275,-0.0345095656812191,Atlantic-Congo,Latn,-2.56974552972503,-1.5278243897157777,0.2870112514952153,-0.0005321367176390447
OLMo-2-0425-1B,swh_Latn,0.27666666666666667,Latn,Atlantic-Congo,7.487255902011655,1.7574,0.056666666666666664,-0.09393688291311264,-0.015576472505927086,Atlantic-Congo,Latn,-3.3004558118606235,1.1951154952672685,1.0085145449308752,0.00011849080517457072
OLMo-2-0425-1B,yor_Latn,0.24666666666666667,Latn,Atlantic-Congo,4.632892380992985,3.0247,0.013333333333333334,-0.08075033873319626,-0.036625735461711884,Atlantic-Congo,Latn,-4.304065093204169,1.1390998545842201,6.587837837837826,1.7290689187828808e-05
OLMo-2-1124-7B,swh_Latn,0.29333333333333333,Latn,Atlantic-Congo,7.487255902011655,1.7574,0.30333333333333334,-0.05272548273205757,0.03064887970685959,Atlantic-Congo,Latn,-2.7916369172104756,0.4437149465318915,0.4144802947415429,0.00010702750521743758
OLMo-2-1124-7B,yor_Latn,0.23,Latn,Atlantic-Congo,4.632892380992985,3.0247,0.016666666666666666,-0.07164715975522995,-0.031695231795310974,Atlantic-Congo,Latn,-4.304065093204169,-0.1211195888013048,6.587837837837826,-1.838505325019409e-06
Mistral-7B-v0.3,swh_Latn,0.2633333333333333,Latn,Atlantic-Congo,7.487255902011655,1.7241,0.2,-0.05221587046980858,0.018438460305333138,Atlantic-Congo,Latn,-4.011868340397864,-1.3615622653481578,3.7701498868778427,-3.6113316244744684e-05
Mistral-7B-v0.3,yor_Latn,0.25666666666666665,Latn,Atlantic-Congo,4.632892380992985,2.6017,0.03,-0.08283316344022751,-0.04190318286418915,Atlantic-Congo,Latn,-4.304065093204169,-0.7463508248579673,6.587837837837826,-1.1329050795343164e-05
bloom-1b7,swh_Latn,0.2633333333333333,Latn,Atlantic-Congo,7.487255902011655,1.0901,0.48333333333333334,-0.053603969514369965,0.047268424183130264,Atlantic-Congo,Latn,-4.011868340397864,0.9142114043441412,3.7701498868778427,2.4248032153222514e-05
bloom-1b7,yor_Latn,0.23,Latn,Atlantic-Congo,4.632892380992985,2.2114,0.13,-0.0832904577255249,-0.030615972355008125,Atlantic-Congo,Latn,-4.304065093204169,1.5545529282898283,6.587837837837826,2.3596958067894027e-05
bloom-7b1,swh_Latn,0.25333333333333335,Latn,Atlantic-Congo,7.487255902011655,1.0901,0.8433333333333334,-0.0008012220496311784,0.12962880730628967,Atlantic-Congo,Latn,-4.304065093204169,0.8628015512876539,6.587837837837826,1.3096686298037612e-05
bloom-7b1,yor_Latn,0.24333333333333335,Latn,Atlantic-Congo,4.632892380992985,2.2114,0.08,-0.06329518556594849,-0.016860555857419968,Atlantic-Congo,Latn,-4.304065093204169,1.795339828039646,6.587837837837826,2.7251924245122625e-05
EuroLLM-1.7B,swh_Latn,0.25333333333333335,Latn,Atlantic-Congo,7.487255902011655,1.5312,0.06,-0.17205962538719177,-0.06876848638057709,Atlantic-Congo,Latn,-4.304065093204169,0.5213413356488186,6.587837837837826,7.913574009429508e-06
EuroLLM-1.7B,yor_Latn,0.23333333333333334,Latn,Atlantic-Congo,4.632892380992985,2.7445,0.016666666666666666,-0.1256302148103714,-0.06342178583145142,Atlantic-Congo,Latn,-4.304065093204169,1.4633665540417873,6.587837837837826,2.2212816679608424e-05
SmolLM2-1.7B,swh_Latn,0.28,Latn,Atlantic-Congo,7.487255902011655,1.8768,0.05333333333333334,-0.0964687392115593,-0.01848679780960083,Atlantic-Congo,Latn,-3.178053830347945,0.7104045749274088,0.8101851851851838,8.767340042985117e-05
