model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y
EuroLLM-1.7B,ilo_Latn,0.25333333333333335,Latn,Austronesian,,,,,,Austronesian,Latn,-4.304065093204169
EuroLLM-1.7B,kaz_Cyrl,0.22666666666666666,Cyrl,Turkic,9.447543326977344,2.2464,0.023333333333333334,-0.10988312214612961,-0.03747505322098732,Turkic,Cyrl,-4.304065093204169
EuroLLM-1.7B,lit_Latn,0.22,Latn,Balto-Slavic,10.153726802927073,1.3047,0.9466666666666667,0.03435782343149185,0.18097266554832458,Balto-Slavic,Latn,-4.304065093204169
EuroLLM-1.7B,mya_Mymr,0.2633333333333333,Mymr,Sino-Tibetan,8.94576714414124,11.58,0.0033333333333333335,-0.1445668339729309,-0.0972275659441948,Sino-Tibetan,other,-4.011868340397864
EuroLLM-1.7B,pbt_Arab,0.23666666666666666,Arab,Indo-European,8.559915920992061,3.3186,0.02,-0.14848944544792175,-0.07889307290315628,Indo-European,Arab,-4.304065093204169
EuroLLM-1.7B,sin_Latn,0.26666666666666666,,,,,,,,other,other,-3.7841896339182615
EuroLLM-1.7B,srp_Cyrl,0.28,Cyrl,Balto-Slavic,9.664593347362308,1.8069,0.41333333333333333,-0.05256281793117523,0.06509675085544586,Balto-Slavic,Cyrl,-3.178053830347945
EuroLLM-1.7B,tha_Thai,0.3,Thai,Tai-Kadai,10.196379987855126,4.6693,0.02666666666666667,-0.12558513879776,-0.054869093000888824,Tai-Kadai,other,-2.639057329615259
EuroLLM-1.7B,vie_Latn,0.24666666666666667,Latn,Austroasiatic,10.743353922054286,2.7007,0.04666666666666667,-0.09670940041542053,-0.024136852473020554,other,Latn,-4.304065093204169
EuroLLM-1.7B,ars_Arab,0.2733333333333333,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-3.4385849137337767
EuroLLM-1.7B,bul_Cyrl,0.24,Cyrl,Balto-Slavic,10.360175858097726,1.2658,0.9866666666666667,0.04232398048043251,0.20182077586650848,Balto-Slavic,Cyrl,-4.304065093204169
EuroLLM-1.7B,est_Latn,0.25,Latn,Uralic,9.944761723531126,1.2586,0.96,0.04497520998120308,0.17623834311962128,Uralic,Latn,-4.304065093204169
EuroLLM-1.7B,hau_Latn,0.27,Latn,Afro-Asiatic,,1.6503,0.043333333333333335,-0.17741404473781586,-0.06860874593257904,Afro-Asiatic,Latn,-3.5973122605884447
EuroLLM-1.7B,ind_Latn,0.25,Latn,Austronesian,10.081454105942349,1.4122,0.16666666666666666,-0.06459462642669678,0.027276935055851936,Austronesian,Latn,-4.304065093204169
EuroLLM-1.7B,kea_Latn,0.27,Latn,Portuguese Creole,,,,,,other,Latn,-3.5973122605884447
EuroLLM-1.7B,lug_Latn,0.22,Latn,Atlantic-Congo,,,,,,Atlantic-Congo,Latn,-4.304065093204169
EuroLLM-1.7B,nld_Latn,0.23,Latn,Indo-European,10.903264809073452,1.0172,0.99,0.07787445932626724,0.23464223742485046,Indo-European,Latn,-4.304065093204169
EuroLLM-1.7B,pes_Arab,0.28,Arab,Indo-European,10.662263375070816,2.5935,0.04666666666666667,-0.09338447451591492,-0.030031582340598106,Indo-European,Arab,-3.178053830347945
EuroLLM-1.7B,sin_Sinh,0.27,Sinh,Indo-European,8.94462532284678,10.9055,,,,Indo-European,other,-3.5973122605884447
EuroLLM-1.7B,ssw_Latn,0.2733333333333333,Latn,Atlantic-Congo,,1.6339,0.056666666666666664,-0.15982994437217712,-0.06715499609708786,Atlantic-Congo,Latn,-3.4385849137337767
EuroLLM-1.7B,tir_Ethi,0.27666666666666667,Ethi,Afro-Asiatic,,10.6227,0.0033333333333333335,-0.15163365006446838,-0.10439857095479965,Afro-Asiatic,other,-3.3004558118606235
EuroLLM-1.7B,war_Latn,0.23666666666666666,Latn,Austronesian,,,,,,Austronesian,Latn,-4.304065093204169
EuroLLM-1.7B,ary_Arab,0.32666666666666666,,,,,,,,other,other,-2.172773481472055
EuroLLM-1.7B,cat_Latn,0.23666666666666666,Latn,Indo-European,10.097961053275002,1.1852,0.9633333333333334,0.051321160048246384,0.20689846575260162,Indo-European,Latn,-4.304065093204169
EuroLLM-1.7B,eus_Latn,0.26666666666666666,Latn,isolate,9.101082328203272,1.4877,0.09,-0.13494911789894104,-0.03590238094329834,other,Latn,-3.7841896339182615
EuroLLM-1.7B,heb_Hebr,0.24666666666666667,Hebr,Afro-Asiatic,9.693476506485494,4.1431,0.08333333333333333,-0.07859984040260315,-0.014227750711143017,Afro-Asiatic,other,-4.304065093204169
EuroLLM-1.7B,isl_Latn,0.21,Latn,Indo-European,9.371177412080815,1.7853,0.13,-0.10675694048404694,-0.004404622130095959,Indo-European,Latn,-4.304065093204169
EuroLLM-1.7B,khk_Cyrl,0.2633333333333333,Cyrl,Mongolic-Khitan,9.267328434893145,2.4459,0.016666666666666666,-0.1227453425526619,-0.057560041546821594,other,Cyrl,-4.011868340397864
EuroLLM-1.7B,luo_Latn,0.2633333333333333,Latn,Nilotic,,,,,,other,Latn,-4.011868340397864
EuroLLM-1.7B,nob_Latn,0.26666666666666666,Latn,Indo-European,10.265445888776227,1.1685,1.0,0.08216843754053116,0.2299768626689911,Indo-European,Latn,-3.7841896339182615
EuroLLM-1.7B,plt_Latn,0.2633333333333333,Latn,Austronesian,8.15437957359287,1.5625,0.043333333333333335,-0.162278413772583,-0.06869523227214813,Austronesian,Latn,-4.011868340397864
EuroLLM-1.7B,slk_Latn,0.22,Latn,Balto-Slavic,10.215972316299656,1.2619,0.9766666666666667,0.06621935963630676,0.20196205377578735,Balto-Slavic,Latn,-4.304065093204169
EuroLLM-1.7B,sun_Latn,0.2733333333333333,Latn,Austronesian,6.11676045067112,,,,,Austronesian,Latn,-3.4385849137337767
EuroLLM-1.7B,tsn_Latn,0.2833333333333333,Latn,Atlantic-Congo,,1.541,0.03333333333333333,-0.15125305950641632,-0.06301495432853699,Atlantic-Congo,Latn,-3.0680529351336174
EuroLLM-1.7B,wol_Latn,0.27,Latn,Atlantic-Congo,,1.6666,0.06333333333333334,-0.18723048269748688,-0.0819624662399292,Atlantic-Congo,Latn,-3.5973122605884447
SmolLM2-1.7B,acm_Arab,0.31333333333333335,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-2.38343718962314
SmolLM2-1.7B,arz_Arab,0.2966666666666667,Arab,Afro-Asiatic,,,,,,Afro-Asiatic,Arab,-2.7128008038608074
